Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;[image];;;;;;;;;
;;;;Programa de Carreras -;;;18 de enero de 2015;;;;;;
Peña Cafeteria Es Reco D;2;;QING DU VIVIER (FR);J. C. ROTGER;;P. Estelrich;;1800;Ca11;Look De Star (fr)-ella Du Vivier (fr);65.120;1.16.0;0a-0a(14)-5a-6a-0a-5a
Cuadra Mauritius;3;;QUASIMODO FACE (SE);B. TOUS;;D. M. Pereira;;1800;Cc11;Goetmals Wood (fr)-uka Des Champs;86.331;1.14.2;2a-0a(14)-5a-4a-1a-3a
Cuadra H.m.;4;D4;OH TAP IN HM;M. MESTRE;;M. Mestre;;1800;Ca10;Tap In (us)-lindys Spring (se);74.342;1.14.3;3a(14)-3a-2a-3a-2a-3a
Cuadra H.m.;5;;TREGOR SOMOLLI (FR);J. A. HORRACH;;M. Mestre;;1800;Cc8;Millenium Wood (fr)-image Somolli (fr);23.756;1.16.6;0a-1a(14)-3a-4a-Da-5a
Hermanos Riera Riera;6;D4;URBI DE L'ITON (FR);P. SEBASTIA S.;;C. Riera M. (ap);;1800;Cc7;Cygnus D'odyssee (fr)-manne De L'ito n;38.014;1.16.4;4a-4a(14)-0a-3a-4a-0a
Cuadra Ca'n Duran;7;DP;SOLITAIRE (FR);A. FRONTERA;;P. Puigserver;;1800;Cc9;Hasting (fr)-melusine Du Loir (fr);102.420;1.15.0;1a-6a(14)-1a-5a-0a-0a
Peña Bonanza;8;D4;SAMANTHA LAP (FR);D. OLIVER;;J. C. Villalonga;;1800;Ec9;Go Lucky (fr)-lady De L'iton (fr);71.972;1.14.0;5a-0a(14)-6a-1a-2a-2a
4ª CARRERA;;;;Premio SELAE-LOTOTURF;;;;;;;;;Hasta 14:05 h.
Al Trot Enganxat;;;Distància 2.600m.;PLACA NEGRA - NUMERO BLANCO;;;;;;;;;Autostart
;;;;7000€ en premis: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años internacionales hasta 35.000€;;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Hermanos Moya Alemany;1;D4;AVE CESAR;A. FRONTERA;;A. Frontera;;2600;Cn5;Armbro Goal (us)-hills Tiara (us);6.450;1.18.5;3a-4a(14)-4a-0a-0a-0a
Cuadra Can Llempat;2;;ATENEA HANNOVER;D. LOZANO;;B. Salas;;2600;Ec5;Jivibo-atenea Frene;744;1.19.9;(14)-Da-6a-Da-Ra-7a-Da
Cuadra Paula & Neus;3;;BUNNY;J. C. ROTGER;;P. Estelrich;;2600;Cc4;Dexter Tilly (se)-new Lady;8.528;1.17.5;2a-5a(14)-2a-4a-4a-3a
Peña Bonanza;4;;URBANO BLAI;O. PUIGSERVER;;J. C. Villalonga;;2600;Ca7;Love You (fr)-gogo Blai;7.426;1.17.4;Da-Da(14)-Ra-Ra-Da-Da
Cuadra Italoiberica;5;DP;SOGNO CAPAR (IT);A. BROGLIA;;B. Llobet R.;;2600;Cc4;Self Possesed(us)-imera Mp;862;1.19.2;4a-5a(14)-1a-6a-3a-Da
Peña Cafeteria Es Reco D;6;;BILL HM;A. GARAU;;P. Estelrich;;2600;Cn4;Oh Tap In Hm-alfie´s Lady (us);1.188;1.16.9;0a-0a(14)-5a-0a-Da-0a
Peña Bonanza;7;;UONZE D'ESCAFI;G. ANDREU;;J. C. Villalonga;;2600;Cc7;Armbro Goal (us)-huella D'escafi;7.078;1.17.7;6a(14)-0a-3a-Da-7a-6a
Hermanos Riera Riera;8;;BEURI SINIA;J. VILLALONGA (AP);;Mª. Riera M. (ap);;2600;Ec4;Terlan Du Fort-fatina Di Sav;1.280;1.19.2;(14)-0a-Da-0a-6a-Da-Ra
Cuadra Una Il·lusio Negra;9;;TALISMAN HANOVER;P. SEBASTIA S.;;F. Servera Ll. (ap);;2600;Cc8;Eole (fr)-espiga Hanover;6.967;1.16.5;5a(14)-Da-0a-Da-5a-0a
Hermanos Riera Riera;10;;VATNA BOCCA (FR);A. SANCHEZ;;C. Riera M. (ap);;2600;Ec6;Jupiter D'opale (fr)-quatna Bonheur (fr);6.243;1.18.7;6a-5a(14)-0a-6a-Da-0a
Cuadra H.m.;11;;BENVENGUT EDEN;M. MESTRE;;M. Mestre;;2600;Cc4;Eden Bridge (fr)-elga Breton Gf;3.262;1.17.9;0a-3a(14)-3a-6a-5a-Da
Cuadra Sa Marina Slu;12;;BENUS TARTIFUME JS;J. A. GARCIA;;F. J. Sagrera R.;;2600;Ec4;Hioco De Tartifume (fr)-osir;1.350;1.18.4;Da-Da(14)-0a-Da-1a-0a
5ª CARRERA;;;;Premio CRUZCAMPO;;;;;;;;;Hasta 14:40 h.
Trote Enganchado;;;Distancia 2.600m.;PLACA VERDE - NUMERO BLANCO;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años internacionales de libre inscripción.;;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Cuadra Es Pou Florit S.l.;1;;DOMINO SUND (SE);J. A. GARCIA;;M. A. Binimelis;;2600;Ec8;Muscles Yankee (us)-euro Tara (us);171.356;1.13.9;6a(14)-Ra-2a-4a-3a-6a
Cuadra Pma;2;DA;NEW KING VEA (FR);P. SEBASTIA S.;;P. Sebastia S.;;2600;Cc14;Viking's Way (fr)-cybele Vea;437.848;1.11.4;0a(14)-0a-0a-5a-5a-0a
Quadra Qualitrot;3;;RADJAH D'HAUFOR (FR);D. OLIVER;;J. C. Villalonga;;2600;Cc10;Dahir De Prelong (fr)-hanoukka (fr);185.496;1.12.3;2a-5a(14)-6a-2a-2a-6a
Binimelis Garcias Sl;4;DA;HE'S A GANGSTER (SE);A. FRONTERA;;M. A. Binimelis;;2600;Cc11;Viking Kronos -com Gretchen;150.150;1.12.5;5a-4a(14)-3a-4a-6a-4a
Cuadra H.m.;5;;PAPY CLAUDE (FR);M. MESTRE;;M. Mestre;;2600;Ca12;Urfist Des Pres (fr)-jenny Cup (fr);170.499;1.13.2;3a-1a(14)-1a-1a-1a-1a
Peña Cafeteria Es Reco D;6;;ORATEUR (FR);J. C. ROTGER;;P. Estelrich;;2600;Ca13;Hugo Du Bossis (fr)-gitaine (fr);375.261;1.11.9;4a(14)-5a-0a-6a-0a-Da
Cuadra Es Pou Florit S.l.;7;DA;SOLEIL DU MERLE (FR);M. A. BINIMELIS;;M. A. Binimelis;;2600;Ca9;Koktail De Perron (fr)-kiva Du Montil (f;159.677;1.11.9;1a-2a(14)-2a-3a-3a-2a
Cuadra H.m.;8;;REGISPER CEHERE (FR);J. A. HORRACH;;M. Mestre;;2600;Cn10;Bon Conseil(fr)-legitime Defense;176.903;1.13.6;0a-3a(14)-4a-0a-0a-0a
;;;;[image];;;DIRECCIÓN DE COMUNICACIÓN;;;;;;
;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;
;;;;;;;www.loteriasyapuestas.es;;;;;;
