Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
4ª CARRERA;;;;Premio SELAE,LOTOTURF;;;;;;;;;;;;Hasta 14:05 h.
Al Trot Enganxat;;;;Distància 1.800m.;PLACA NEGRA - NUMERO BLANCO;;;;Matrícula 40€;;;;;;;Autostart
;;;;7000€ en premis: 3220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º;;De 3 y mas años internacionales hasta 200.000 €. Colocación por sorteo libre.;;;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra Es Pou Florit S.l.;;1;;SOLEIL DU MERLE (FR);M. A. BINIMELIS;;M. A. Binimelis;;1800;;Ca8;Koktail De Perron (fr)-kiva Du Montil (;f;154.847;1.11.9;2a-3a-3a-2a-5a
Penya Fliper Star;;2;;HE'S A GANGSTER (SE);J. RIERA S. (AP);;M. A. Binimelis;;1800;;Cc10;Viking Kronos -com Gretchen;;149.240;1.12.5;3a-4a-6a-4a-5a-Da
Cuadra H.m.;;3;;REGISPER CEHERE (FR);A. GARAU;;M. Mestre;;1800;;Cn9;Bon Conseil(fr)-legitime Defense;;175.993;1.13.6;4a-0a-0a-0a-0a-4a
Cuadra H.m.;;4;;PAPY CLAUDE (FR);M. MESTRE;;M. Mestre;;1800;;Ca11;Urfist Des Pres (fr)-jenny Cup (fr);;166.369;1.13.2;1a-1a-1a-1a-3a-5a
Peña Cafeteria Es Reco D;e;5;;SOYEUX (FR);J.VILLALONGA (AP);;P. Estelrich;;1800;;Cc8;Kiwi (fr)-joyeuse (fr);;52.788;1.14.7;0a-5a
Cuadra Froilan;;6;;RED WILLIAMS (FR);J. C. ROTGER;;J. C. Villalonga;;1800;;Cc9;Ganymede (fr)-halima (fr);;105.570;1.14.1;5a-6a-0a-5a-6a-6a
Peña Cafeteria Es Reco D;e;7;;QING DU VIVIER (FR);E.SAEZ;;P. Estelrich;;1800;;Ca10;Look De Star (fr)-ella Du Vivier (fr);;65.120;1.16.0;5a-6a-0a-5a-0m-Da
Quadra Qualitrot;;8;;RADJAH D'HAUFOR (FR);G. ANDREU;;J. C. Villalonga;;1800;;Cc9;Dahir De Prelong (fr)-hanoukka (fr);;183.466;1.12.3;6a-2a-2a-6a-1a-3m
Cuadra Ca'n Duran;;9;;SOLITAIRE (FR);A. FRONTERA;;P. Puigserver;;1800;;Cc8;Hasting (fr)-melusine Du Loir (fr);;98.850;1.15.0;1a-5a-0a-0a-0m-3a
Peña Bonanza;;10;;SAMANTHA LAP (FR);O. PUIGSERVER;;J. C. Villalonga;;1800;;Ec8;Go Lucky (fr)-lady De L'iton (fr);;71.562;1.14.0;6a-1a-2a-2a-Da-0a
5ª CARRERA;;;;Premio EL DESMARQUE;;;;;;;;;;;;Hasta 14:40 h.
Al trote enganchado;;;;Distancia 2.600m.;PLACA VERDE - NUMERO BLANCO;;;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años internacionales hasta 50.000€;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Penya Lancers;;1;;VIROT CR;A. FRONTERA;;A. Frontera;;2600;;Cc5;Fairbank Gi (it)-guida Om (it);;29.475;1.15.2;2a-6a-6a-4a-2a-3a
Penya Fliper Star;;2;;UN D'EN FLIPER;M. A. BINIMELIS;;M. A. Binimelis;;2600;;Cc6;Fliper Star-artarita Plu;;46.508;1.15.2;0a-1a-1a-2a-2a-2a
Hermanos Riera Riera;;3;;TEVINNE DU SOLAT (FR);Mª. RIERA M. (AP);;C. Riera M.;;2600;;Ec7;Bassano (fr)-helene Williams (fr);;30.690;1.16.6;4a-4a-2a-6a-7a-2a
Cuadra H.m.;;4;;VINCENNES HM;M. MESTRE;;M. Mestre;;;2600;Cc5;Goetmals Wood (fr)-lindys Spring (se);;35.032;1.15.2;4a-5a-3a-4a-0a-3a
Hermanos Riera Riera;;5;;VATNA BOCCA (FR);A. GARAU;;C. Riera M.;;2600;;Ec5;Jupiter D'opale (fr)-quatna Bonheur (fr;;5.473;1.18.7;0a-6a-Da-0a-0a-0a
;;;;;[image];;;DIRECCIÓN DE COMUNICACIÓN;;;;;;;;
;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;;
;;;;;;;;www.loteriasyapuestas.es;;;;;;;;
