Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
Hermanos Riera Riera;5;;TESTAROSSA CARNOT (FR);A. VAQUER S.;C. Riera M. (ap);1800;Ea8;Kid Blue (fr)-koda De Neulliac (fr);35.930;1.17.1;0a-4a-0a-0a(14)-Da-0a
Cuadra H.m.;6;;UNA PASSADA HM;J. A. HORRACH;M. Mestre;1800;Ec7;Armbro Goal (us)-hija De Hooge;26.873;1.15.7;5a-Ra-4a-1a-3a(14)-2a
Penya Lancers;7;;VIROT CR;A. FRONTERA;A. Frontera;1800;Cc6;Fairbank Gi (it)-guida Om (it);37.211;1.15.2;2a-2a-3a-2a-3a(14)-5a
Rafael Bonet Adrover;8;;TENOR DE KOR;J. VILLALONGA (AP);J. A. Garcia;1800;Cc8;Armbro Goal (us)-auba Des Etang;25.879;1.15.1;4a-2a-1a-5a-5a(14)-0a
4ª CARRERA;;;;Premio SELAE-LOTOTURF;;;;;;;Alas 14:05 h.
Al Trote Enganchado;;;Distancia 1.800m.;PLACA NEGRA - NUMERO BLANCO;;Matrícula 40€;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 100.000€;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Peña Cafeteria Es Reco;1;D4;QING DU VIVIER (FR);G. ANDREU;P. Estelrich;1800;Ca11;Look De Star (fr)-ella Du Vivier (fr;65.864;1.16.0;6a-0a-5a-0a-0a(14)-5a
Cuadra Paula & Neus;2;;TARA DU PASTERET (FR);P. ESTELRICH;P. Estelrich;1800;Ec8;Jade Bocain (fr)-ketmie Money (fr;54.248;1.13.8;Ra-1a-6a-4a-5a(14)-4a
Peña Cafeteria Es Reco;3;;SOYEUX (FR);J. C. ROTGER;P. Estelrich;1800;Cc9;Kiwi (fr)-joyeuse (fr);53.278;1.14.7;0a-4a-0a-0a-0a(14)-0a
Quadra Jardins Acurcio;4;;REVE DE L'INAM (FR);A. M. DA CUNHA P.;J. Civico;1800;Cc10;Giant Cat-indienne Derro (fr);97.690;1.14.8;(14)-0a-7a-1a-4a-6a-Ra
Cuadra H.m.;5;D4;OH TAP IN HM;M. MESTRE;M. Mestre;1800;Ca10;Tap In (us)-lindys Spring (se);75.952;1.14.3;0a-2a-3a(14)-3a-2a-3a
Cuadra Italoiberica;6;;SILENCE DES BOIS (FR);A. BROGLIA;B. Llobet R.;1800;Cc9;King Du Perthoise (fr)-granita (fr);93.886;1.14.5;2a-0a(14)-0a-0a-0a-0a
Penya Fliper Star;7;;UN D'EN FLIPER;M. A. BINIMELIS;M. A. Binimelis;1800;Cc7;Fliper Star-artarita Plu;59.508;1.15.2;1a-1a-1a-6a-1a(14)-0a
Cuadra Ramat Jove S.l.;8;;ASTERIX SUND;A. FRONTERA;A. Frontera;1800;Cc5;Agatos (it)-roxette Sund (se);38.952;1.15.1;1a-1a-2a-1a-1a(14)-1a
Hermanos Riera Riera;9;D4;URBI DE L'ITON (FR);Mª. RIERA M. (AP);C. Riera M. (ap);1800;Cc7;Cygnus D'odyssee (fr)-manne De;38.434;1.16.4;Da-5a-Da-4a-4a(14)-0a
Peña Bar Vistamar Ii;10;D4;UNCLE YIM CS;J. VILLALONGA (AP);A. Frontera;1800;Cc7;Atas Ace L (se)-pocahontas Gull (;45.145;1.14.9;0a-2a-2a-6a-2a(14)-1a
5ª CARRERA;;;;Premio CRUZCAMPO;;;;;;;Hasta 14:40 h.
Al Trote Enganchado;;;Distancia 1.800m.;PLACA VERDE - NUMERO BLANCO;;Matrícula 40€;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 5 y más años internacinales hasta 450.000€;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Hermanos Riera Benna;1;;PETIT COLONEL (FR);M. RIERA B.;J. Muntaner B.;1800;Ca12;Sancho Panca (fr)-armee (fr);#####;1.15.1;5a-0a-0a(14)-6a-0a-4a
Cuadra Es Pou Florit S.l;2;DA;SOLEIL DU MERLE (FR);M. A. BINIMELIS;M. A. Binimelis;1800;Ca9;Koktail De Perron (fr)-kiva Du Mo;n#####;1.11.9;2a-3a-1a-1a-2a(14)-2a
Quadra Qualitrot;3;;RADJAH D'HAUFOR (FR);G. ANDREU;J. C. Villalonga;1800;Cc10;Dahir De Prelong (fr)-hanoukka (f;#####;1.12.3;3a-2a-3a-2a-5a(14)-6a
Cuadra Es Pou Florit S.l;4;;DOMINO SUND (SE);J. VILLALONGA (AP);M. A. Binimelis;1800;Ec8;Muscles Yankee (us)-euro Tara (u;#####;1.13.9;5a-6a-6a-6a(14)-Ra-2a
Cuadra Ca'n Duran;5;;SOLITAIRE (FR);A. FRONTERA;P. Puigserver;1800;Cc9;Hasting (fr)-melusine Du Loir (fr);#####;1.15.0;3a-Ra-1a-1a-6a(14)-1a
Peña Cafeteria Es Reco;6;;ORATEUR (FR);J. C. ROTGER;P. Estelrich;1800;Ca13;Hugo Du Bossis (fr)-gitaine (fr);#####;1.11.9;4a-5a-5a-4a(14)-5a-0a
Binimelis Garcias Sl;7;DA;HE'S A GANGSTER (SE);A. BINIMELIS G.;M. A. Binimelis;1800;Cc11;Viking Kronos -com Gretchen;#####;1.12.5;5a-4a-4a-5a-4a(14)-3a
Cuadra H.m.;8;;PAPY CLAUDE (FR);M. MESTRE;M. Mestre;1800;Ca12;Urfist Des Pres (fr)-jenny Cup (fr);#####;1.13.2;1a-1a-2a-3a-1a(14)-1a
Cuadra H.m.;9;;REGISPER CEHERE (FR);J. A. HORRACH;M. Mestre;1800;Cn10;Bon Conseil(fr)-legitime Defense;#####;1.13.6;6a-0a-0a-3a(14)-4a-0a
;;;;[image];;DIRECCIÓN DE COMUNICACIÓN;;;;;
;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;
;;;;;;www.loteriasyapuestas.es;;;;;
