Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;[image];Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25
;;;;;;;;;;;;;4700€ en premios: 2.200 al 1º, 1.080 al 2º, 564 al 3º, 286 al 4º, 236 al 5º, 190 al 6º, 144 al 7º, Criador :175 al 1º, 75 al 2º, 50 al 3º;;De 6 y más años, nacionales de libre inscripción.;;;;;;;;;
PROPIETARIO;;Nº;;;CABALLO;;He.;CONDUCTOR;;;ENTRENADORDIST;;;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA
Cuadra Segui Marti;;;1;;TINTIN DE S'HORT;;DA;J. FLUXA;;;M. Fluxa S.;;;2150 Cc8;Giant Valley (us)-Guzzi Lobell;;;;49.355;1.14.8;1.16.1;1-1-3-1-4-2;;03.05.15-1-SP-2150-A-1.16.6-J. FLUXA
Juan Lliteras Mulet;;;2;;SOLE MIO;;;G. RIERA;;;A. Lliteras M.;;;2150 Cc9;Eros Du Rocher (fr)-Espira Des Bosc;;;;13.401;1.16.3;1.17.4;6-4-6-0-1-D;;09.05.15-6-MN-2050-A-1.19.5-G. RIERA
Hermanos Andreu Mesquida;;;3;;ULISES TMS;;;Jme. FLUXA;;;M. Andreu M;;;2150 Cc7;Captain Cook (us)-Louisienne (se);;;;56.709;1.14.9;1.15.4;2-5-2-1-3(14)-3;;15.04.15-2-SP-2650-A-1.17.3-Jme. FLUXA
Cuadra Ses Arenes De Dalt;;;4;;URIADNA ALLES;;D4;B. LLOBET R.;;;B. Llobet R.;;;2150 Ec7;Yankee Slide (us)-Cesoia Topspin (se);;;;42.043;1.14.4;1.14.6;6-6-4-1-5-4;;25.04.15-6-MN-2050-A-1.18.5-A. GOMILA A.
Quadres Valls Rullan, S.l.;;;5;;UNIVERSAL;;DP;A. VALLS;;;A. Valls;;;2150 Cc7;Yankee Slide (us)-Elita Tos (se);;;;49.256;1.13.7;1.14.9;7-0-5-5-0-5;;10.05.15-7-SP-2150-A-1.17.1-A. VALLS
Cuadra Ca's Padri Toni;;;6;;VITALIC;;DA;B. MASCARO;;;B. Mascaro;;;2150 Cc6;Dexter Tilly (se)-Amazing Girl (se);;;;39.220;1.14.3;1.14.3;1-1-1-1-1-1;;26.04.15-1-SP-1650-A-1.14.8-B. MASCARO
Cuadra Ca'n Duran;;;7;;TOMB RAIDER;;;O. PUIGSERVER;;;P. Puigserver;;;2150 Cc8;Pearsall Hanover (us)-Veronica (no);;;;71.248;1.13.8;1.14.4;5-4-1-6-3(14)-1;;03.05.15-5-SP-2150-A-1.17.0-O. PUIGSERVER
1________;Tiempo_________;;;2________;Tiempo_________;3________;;Tiempo_________;;4________;Tiempo_________;5________;;;Tiempo_________;6________;;;Tiempo_________;7________;;Tiempo_________;;
3ª CARRERA;;;;;Premio DILUVI;;;;;;;;;;Ganador;;;;Quiniela;;;Trio;;A las 16:50
Al Trote Enganchado;;;;;Distancia 2.150m.;;;PLACA NEGRA - NUMERO BLANCO;;;;;;;Matrícula 47€;;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;;;;;;;;;;4700€ en premios: 2.200 al 1º, 1.080 al 2º, 564 al 3º, 286 al 4º, 236 al 5º, 190 al 6º, 144 al 7º, Criador :175 al 1º, 75 al 2º, 50 al 3º;;De 4 y 5 años, nacionales de libre inscripción.;;;;;;;;;
PROPIETARIO;;Nº;;;CABALLO;;He.;CONDUCTOR;;;ENTRENADORDIST;;;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA
Hermanos Pastor Serra;;;1;;AIRE DE SA SINIA;;;M. NADAL;;;M. Pastor S.;;;2150 Cc5;Gros Grain (fr)-Chanel Du Nord (se);;;;21.670;1.16.1;1.16.1;D-0-1-0(14)-2-4;;15.04.15-D-SP-2150-A-0-B. MASCARO
Cuadra Son Mas Vell;;;2;;BEST IN;;D4;G. ANDREU;;;J. C. Villalonga;;;2150 Ec4;Tap In (us)-Bix Bride (se);;;;15.342;1.16.6;1.16.6;2-4-0-7-5-0;;09.05.15-2-MN-2050-A-1.18.0-G. ANDREU
Jaume Rotger Amer;;;3;;BUZZING BUZZARD;;;J. C. ROTGER;;;M. Andreu M;;;2150 Cn4;From Above (se)-Her Highness (se);;;;18.274;1.16.1;1.16.3;1-1-D-2-4-R;;26.04.15-1-SP-1650-A-1.16.8-J. C. ROTGER
Cuadra Ramat Jove S.l.;;;4;;ASTERIX SUND;;;J. RIERA S.;;;A. Frontera;;;2150 Cc5;Agatos (it)-Roxette Sund (se);;;;41.144;1.15.1;1.17.2;7-2-D-0-0-2;;03.05.15-7-SP-2150-A-1.17.2-J. RIERA S.
Cuadras Morro;;;5;;BRUIXA DE FONT;;D4;A. POU H.;;;J. Morro;;;2150 Ec4;Goetmals Wood (fr)-Odysse De Font I;;a;;13.974;1.15.9;1.15.9;3-D-5-1-2-3;;10.05.15-3-SP-2150-A-1.16.6-A. POU H.
Hermanos Adrover Boscana;;;6;;AIRES DE HEROINA;;;G. POU;;;A. Frontera;;;2150 Cc5;Armbro Goal (us)-Heroina Des Bosc;;;;38.840;1.15.3;1.15.4;6-0-1-5-1-2;;26.04.15-6-SP-1650-A-1.15.3-A. FRONTERA
Cuadra Yamo-llevant;;;7;;BOIRA DE LLEVANT;;;A. FRONTERA;;;A. Frontera;;;2150 Ec4;From Above (se)-Sal De Llevant;;;;72.526;1.15.4;1.15.4;2-4(14)-1-1-2-1;;15.04.15-2-SP-2150-A-1.16.6-A. FRONTERA
Es Pou D'es Rafal, S.l.;;;8;;BO POU RAFAL;;;V. GINARD;;;D. Ginard;;;2150 Ca4;Job D´udon (fr)-Liana Pou Rafal;;;;32.818;1.15.1;1.15.6;2-4-D(14)-4-6-7;;03.05.15-2-SP-2150-A-1.16.8-J. A. RIERA
Cuadra Herald;;;9;;BEN MERVAL;;DP;B. BENNASAR;;;B. Bennasar;;;2150 Cc4;Never More (fr)-Lyn Del Norte;;;;10.698;1.17.7;1.17.7;2-D-2-1-1-0;;10.05.15-2-SP-2150-A-1.19.2-B. BENNASAR
Cuadras Sas - Cafe 1990;;;10;;BECKER SAS;;;M. MATAMALAS;;;M. Matamalas;;;2150 Cc4;Idjet Mab (fr)-Fatina Trio (it);;;;11.130;1.16.8;1.16.9;6-0-6-0-3-R;;12.04.15-6-SP-2150-A-1.16.9-M. MATAMALAS
1________;Tiempo_________;;;2________;Tiempo_________;3________;;Tiempo_________;;4________;Tiempo_________;5________;;;Tiempo_________;6________;;;Tiempo_________;7________;;Tiempo_________;;
4ª CARRERA;;;;;Premio NOSTRO VX - LOTOTURF;;;;;;;;;;Ganador;;;;Quiniela;;;Trio;;A las 17:15
Al Trote Enganchado;;;;;Distancia 2.150m.;;;PLACA NARANJA - NUMERO NEGRO;;;;;;;Matrícula 15€;;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;;1500€ en premios: 706 al 1º, 344 al 2º, 180 al 3º, 90 al 4º, 76 al 5º, 60 al 6º, 44 al 7º;;;;;;;;;;De 4 y más años nacionales, de 0 / 27.999'99€.;;;;;;;;;
PROPIETARIO;;Nº;;;CABALLO;;He.;CONDUCTOR;;;ENTRENADORDIST;;;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA
Bernardo Jaume Cirer;;;1;;BOS BONY;;;B. JAUME;;;B. Jaume;;;2150 Cc4;Juliano Star (fr)-My Love;;;;4.728;1.17.8;1.17.8;3-5-3-D-D-3;;03.05.15-3-SP-2150-A-1.18.4-A. FRONTERA
Cuadra C.p.;;;2;;ARBOÇ;;DP;J. CARRERAS P.;;;J. Carreras P.;;;2150 Cc5;Illumine (fr)-Sally Can Wait (se);;;;4.942;1.18.7;1.19.6;1-1-D-D-D-3;;01.05.15-1-MAO-2280-A-1.19.2-J. CARRERAS P.
Cuadra Ladil;;;3;;BRUSCA DE LADIL;;;F. BENNASAR;;;J. Pocovi;;;2150 Ec4;Fairbank Gi (it)-Tota De Ladil;;;;5.176;1.17.8;1.17.8;6-6-3-0-R-6;;03.05.15-6-SP-2150-A-1.19.1-S. POCOVI
Cuadra F.r.;;;4;;BARBARO FR;;;J. FORTEZA R.;;;J. Forteza R.;;;2150 Cc4;Idjet Mab (fr)-Noa;;;;5.452;1.17.9;1.17.9;2-2-1-2-0-D;;03.05.15-2-SP-2150-A-1.21.0-J. FORTEZA R.
Cuadra Son Baco;;;5;;BAMBI;;;D. OLIVER;;;S. Rigo A.;;;2150 Ec4;Ganymede (fr)-Jaina De Font;;;;5.482;1.18.0;1.18.6;D-5-R-1-R-7;;03.05.15-D-SP-2150-A-0-D. OLIVER
Juan Manuel Cuadros Perez;;;6;;BRAD PITT SB;;D4;A. FRONTERA;;;A. Frontera;;;2150 Cc4;Never More (fr)-Amazzonia Ambrosio (;;;;5.661;1.18.2;1.18.2;2-7-2-0-D-D;;09.05.15-2-MN-1725-A-1.18.8-A. FRONTERA
Quadra Xisca;;;7;;VENDAVAL CS;;;F. ANDREU;;;A. Valls;;;2150 Cc6;Eole (fr)-Edda Vg (it);;;;5.671;1.18.6;1.18.6;D-0-3-1-0-4;;09.05.15-D-MN-1725-A-0-F. ANDREU
Cuadra C'an Moraduix;;;8;;ALAMBI;;;Ant. POCOVI;;;Ant. Pocovi;;;2150 Cn5;Dexter Tilly (se)-Miss Airborn (nor);;;;5.798;1.18.1;1.18.2;4-0(14)-D-0-0-3;;03.05.15-4-SP-2150-A-1.21.5-Ant. POCOVI
Cuadra Colmena F.l.;;;9;;VAN DER K;;D4;Jme. FLUXA;;;J. Munar S.;;;2150 Ec6;Eros Du Rocher (fr)-Colmena;;;;5.841;1.18.1;1.19.2;D-6-0-4-3-0;;09.05.15-D-MN-1725-A-0-J. MUNAR S.
Peña Ca'n Biel Felip;;;10;;VALEUNKILATE TIRETY;;DP;J. A. RIERA;;;R. Matas M.;;;2150 Ec6;Uronometro (it)-Claudia Leber (se);;;;5.963;1.18.6;1.19.2;R-D-D-7-6-D;;25.04.15-R-MN-2050-A-0-R. MATAS M.
Rafael Amengual Fiol;;;11;;VIKINGO JUNIOR;;;G. RIERA;;;Mª. F. Sureda;;;2150 Cc6;Vikingo-Nannsong Tara Gs;;;;6.086;1.17.9;1.17.9;0-D-6-7-0-4;;10.05.15-0-SP-2150-A-0-G. RIERA
Peña Grimalt-fullana;;;12;;ANAMI GV;;;J. RIERA S.;;;M. Grimalt. V;;;2150 Ec5;Password (fr)-Ulrika Eleonora (se);;;;6.118;1.19.1;1.19.1;(14)-R-D-1-2-6-1;;30.12.14-R-SP-2150-A-0-J. RIERA S.
1________;Tiempo_________;;;2________;Tiempo_________;3________;;Tiempo_________;;4________;Tiempo_________;5________;;;Tiempo_________;6________;;;Tiempo_________;7________;;Tiempo_________;;
5ª CARRERA;;;;;7è GRAN PREMIO DE YEGUAS;;;;;;;;;;Ganador;;;;Quiniela;;;Trio;;A las 17:40
Al Trote Enganchado;;;;;Distancia 2.150m.;;;PLACA AZUL - NUMERO BLANCO;;;;;;;Matrícula 113€;;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;;;;;;;;;;;;11280€ en premios: 5.300 al 1º, 2.594 al 2º, 1.354 al 3º, 676 al 4º, 564 al 5º, 452 al 6º, 340 al 7º, Criador :432 al 1º, 180 al 2º, 108 al 3º;;;;Yeguas de 3 años, nacionales de libre inscripción.;;;;;
PROPIETARIO;;Nº;;;CABALLO;;He.;CONDUCTOR;;;ENTRENADORDIST;;;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA
Penya Opium;;;1;;CATA IR;;D4;F. BENNASAR;;;F. Bennasar;;;2150 Ec3;Trebol-Galina V M (dk);;;;480;1.22.7;1.22.7;D-D-D-D-1-D;;26.04.15-D-SP-2150-A-0-S. POCOVI
Peña Del Sol;;;2;;CAIPIRIÑA DEL SOL;;;J. ORFILA P.;;;C. Marcos;;;2150 Ec3;Orfeo Del Sol-Ona D'arc;;;;711;1.22.1;1.22.1;4-1-1-1-1-R;;05.04.15-4-TR-2140-H-1.25.1-J. ORFILA P.
Quadra Si Ho Se;;;3;;CELEBRITY SB;;;B. MASCARO;;;J. J. Miquel;;;2150 Ec3;From Above (se)-Amazzonia Ambrosio;;;;2.513;1.18.9;1.18.9;D-0-0-2-R-4;;26.04.15-D-SP-2150-A-0-B. MASCARO
Antonio Gelabert Oliver;;;4;;CATY MIXO;;D4;A. RIERA B.;;;A. Gelabert O.;;;2150 Ec3;Ambassador Fortuna (us)-Sexappeal M;;;;670;1.21.1;1.22.4;0-0-0-4-7-0;;26.04.15-0-SP-2150-A-0-A. RIERA B.
Cuadra Sa Marina Slu;;;5;;CRIS EVER JS;;;J. A. RIERA;;;F. J. Sagrera R.;;;2150 Ec3;Amadeus Om (it)-Vignola Om;;;;916;1.21.0;1.21.0;0-1-3-4-6-3;;26.04.15-0-SP-2150-A-0-J. A. RIERA
Quadre Cp;;;6;;CHANNEL CP;;;J. M. JUAN;;;J. M. Juan;;;2150 Ec3;Okito (fr)-Unai Cp;;;;562;1.21.6;1.21.6;3-0-0-D-3-0;;15.04.15-3-SP-2150-A-1.21.6-B. CALVO
Cuadra Biniparratx Gran;;;7;;COKTAIL DREAM;;;B. C. PONS V.;;;J. A. Segui;;;2150 Ea3;Love You (fr)-Reggae Dance (se);;;;1.094;1.20.0;1.20.0;4-0-4-0-6-D;;10.05.15-4-TR-1780-H-1.20.5-B. C. PONS V.
Cuadra Sant Jordi;;;8;;CRISIS DE JORD;;;M. JUAN P.;;;M. Juan P.;;;2150 Ec3;Trebol-Canzone Om (it;;;;1.528;1.18.5;1.19.5;3-1-3-2-3-2;;10.05.15-3-TR-1780-H-1.18.5-M. JUAN P.
Estetica Marga Comas;;;9;;CLASICA DE FONT;;;B. RIUTORT;;;B. Riutort;;;2150 Ec3;Password (fr)-Nobella Sund (se);;;;474;1.21.4;1.22.2;0-1-5-0-D-0;;03.05.15-0-SP-2150-A-0-B. RIUTORT
Juan Jose Cladera Gonzalez;;;10;;CADIVA CL;;;Jme. FLUXA;;;M. Andreu M;;;2150 Ec3;From Above (se)-Nadiva Cl Ia;;;;288;1.22.8;1.22.8;1-D;;02.05.15-1-MN-2050-A-1.22.8-Jme. FLUXA
Cuadras Crespi;;;11;;CIELO MIXO;;;S. CRESPI;;;S. Crespi;;;2150 Ec3;Ambassador Fortuna (us)-Remington J;;;;314;1.21.2;1.22.5;4-6-2-0-0-5;;02.05.15-4-MN-2050-A-1.24.6-G. CRESPI
Cuadra Ses Comes;;;12;;CARLOTA DE KOR;;;G. POU;;;A. Frontera;;;2150 Ec3;Musigny Degato (se)-Auba Des Etangs;;;;264;1.20.0;1.20.0;0-D-2;;26.04.15-0-SP-2150-A-0-J. A. RIERA
Instalaciones Andres Vich;;;13;;CLAUDY'S CROWN;;;F. ANDREU;;;And. Vich;;;2150 Ea3;Password (fr)-Lindys Spring (se);;;;0;;;;Debutante;
Cuadra Yamo-llevant;;;14;;CENTELLA MA;;DP;A. FRONTERA;;;A. Frontera;;;2150 Ec3;Non Plus Ultra Ia-Meyzy Horse;;;;156;1.20.5;1.20.5;7-5-7-6-7(14)-D;;26.04.15-7-SP-2150-A-1.22.8-J. RIERA S.
1________;Tiempo_________;;;2________;Tiempo_________;3________;;Tiempo_________;;4________;Tiempo_________;5________;;;Tiempo_________;6________;;;Tiempo_________;7________;;Tiempo_________;;
;;;;;;;;;[image];;;;;;DIRECCIÓN DE COMUNICACIÓN;;;;;;;;;
;;;;;;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;;;
;;;;;;;;;;;;;;;www.loteriasyapuestas.es;;;;;;;;;
