Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;[image];Column12;Column13;Column14;Column15;Column16
;;;;;;;;;;Programa de Carreras - 15 de marzo de 2015;;;;;
;;;;;;;;;;Hipódromo de Manacor;;;;;
1ª CARRERA;;PREMIO D'URBAIN MORA;;;;;;;Ganador;Quiniela;;;Trio;A las 16:00 h.;
Cdra. Xisco Morey;7;SAN PELLEGRINO MIXO;;;J. C. MINUESA;J. C. Minuesa;2.375;Cc9;San Pellegrino-Reggae Dance;9.013;1172;1.18.9;0-5 -6-5-6 -3;27.02.15 -0-SP-2150-A-0- A. POU H.;
Cdra. Celio;8;UNALTRE SB;;;M. A. MASCARO R.;M. A. Mascaro R.;2.375;Ec7;Brandy dei Fiori-Vasterbo Atanytime;9.447;1163;1.18.7;5-0-0-5-3-(14)0;08.03.15 -5-MN-2050-A-1.19.3- M. A. MASCARO R.;
R. Bauza;9;TOGAL REAL B;;;A. BAUZA R.;A. Bauza R.;2.375;Cc8;Strauss OR-Tivina B;9.510;1159;1.20.2;0-6-(14)0-0 -D-(13)D;08.02.15 -0-MN-1725-A-0- A. BAUZA R.;
Germ. Santandreu Pinzo;10;ARBOS SOM;;;Jme. FLUXA;M. Fluxa S.;2.375;Cc5;Jivibo-Brisa d'Arbos;9.671;1180;1.19.6;3-7 -0-0 -D-(14)2;03.03.15 -3-SP-2650-A-1.18.5- Jme. FLUXA;
Cdra. B.R.;11;TIMBOLA BR;;;Jme. BASSA R.;J. L. Mas G.;2.375;Ec8;Ata Star L-Hinka Das Pont;9.747;1172;1.19.1;D-0 -3-0 -0-6;08.03.15 -D-MN-2050-A-0- Jme. BASSA R.;
Cdra. Es Sementeret;12;VET AQUI SI VA BE;;;J. A. RIERA;G. Sureda;2.375;Ca6;Prudence-Georgina Tirety;9.980;1169;1.20.1;4-2-0-6-2 -0;08.03.15 -4-MN-2050-A-1.17.7- J. A. RIERA;
Primero______Tiempo________;;Segundo______Tiempo________;;;Tercero______Tiempo________;Cuarto______Tiempo________;;;;Quinto______Tiempo________ Sexto______Tiempo_______ Séptimo______Tiempo_______;;;;;
3ª CARRERA;;PREMIO JAGUAR SPEED HC;;;;;;;Ganador;Quiniela;;;Trio;A las 17:00 h.;
Al Trote Enganchado;;Distancia;2.375m.;;PLACA NEGRA - NÚMERO BLANCO;;Matrícula 35€;;;Forfait 20% del premio;;;;;Autostart
2500€ en premios: 1200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º,;;;;;;.;;;;De cuatro y más años nacionales.;;;;Cambio Conductor: 18€;
PROPIETARIO;Nº;CABALLO;;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMASR. Abs.R. Dist.CLASIF.;;;;ÚLTIMA CARRERA;
Cdra. Sa Geneta;1;TEAM OF QUEEN;;;J. BENNASAR R.;B. Bennasar;2.375;Cc8;Ata Star L-Guapa SC;13.207;1165;1.18.4;0-4-5-3-3-(14)3;15.02.15 -0-SP-2650-A-0- J. BENNASAR R.;
A. Rossello G.;2;TE AR;;;G. ANDREU;J. C. Villalonga;2.375;Cn8;Allison Hollow-Vonita;13.219;1167;1.18.2;2-1-(14)1-3-3-R;17.01.15 -2-MN-2050-A-1.18.2- G. ANDREU;
Cdra. Son Quint;3;VIALLI;;;B. LLOBET R.;B. Llobet R.;2.375;Cc6;Fairbank Gi-Danya TR;13.465;1143;1.20.0;5-6 -0-R-7 -(14)5;03.03.15 -5-SP-2650-A-1.17.5- B. LLOBET R.;
A. Alzamora M.;4;TIO XISCO;;;A. ALZAMORA;A. Alzamora;2.375;Cc8;Strauss OR-Farfalla Barb;14.253;1177;1.18.3;0-R-0-4-D-D;03.03.15 -0-SP-2650-A-0- J. A. RIERA;
Cdra. 9 de Juliol;5;VANDOS;;;J. FLUXA;M. Fluxa S.;2.375;Cc6;Lurabo Bowl GS-Herbeta des Bosc;16.399;1162;1.18.1;0-4 -5-2 -2-2;21.02.15 -0-SP-2650-A-0- J. FLUXA;
Cdra. Ses Planes;6;NUBE;;;Mª. LLINAS;A. Vich;2.375;Cc11;Tap Dance kid-Eli Jose;16.940;1158;1.18.1;1-6-4-(14)2-0-4;08.02.15 -1-MN-2050-A-1.19.8- M. VICH;
Cdra. Ca'n Duran;7;ANGELINA DURAN;;;O. PUIGSERVER;P. Puigserver;2.375;Ec5;Fast Photo-Herica Garbo;22.552;1153;1.20.0;5-2-0-0-0-(14)0;08.03.15 -5-MN-2050-A-1.17.7- O. PUIGSERVER;
Peña Bonanza;8;VENT DA MAR;;;J. A. RIERA;J. C. Villalonga;2.375;Cc6;Strauss Or-Henara Negra GS;22.626;1162;1.19.4;2-3-5-4-5-0;22.02.15 -2-DH-2600-A-1.17.2- Mª. RIERA M. (AP);
Cdra. Italoiberica;9;UTOPIA AB;;;A. BROGLIA;B. Llobet R.;2.375;Ec7;Captain Cook-Mannarazza;24.721;1149;1.18.8;4-1-1-D-4-3;08.03.15 -4-MN-2050-A-1.17.7- B. LLOBET R.;
Cdra. Salamanca;10;VERI DE FONT;;;B. RIUTORT;B. Riutort;2.375;Cc6;In Love With You-Dalia de Kit;27.689;1143;1.18.0;R-D-0-(14)0-5-5;22.02.15 -R-MN-2375-A-0- B. RIUTORT;
Cdra. H. M.;11;UNA PASSADA HM;;;R. ORFILA C. (AP);M. Mestre;2.375;Ec7;Armbro Goal-Hija de Hooge;28.107;1157;1.19.2;0-D-5-3-5-R;08.03.15 -0-MN-1725-A-0- R. ORFILA C. (AP);
Cdra. Sa Fonda;12;STAR DES NELLS;;;M. AMER (AP);M. Bauza;2.375;Ec9;Dream Vacation-Finolis SB;28.662;1157;1.17.7;D-2-2-5-6-7;08.03.15 -D-MN-1725-A-0- J. BAUZA B.;
Primero______Tiempo________;;Segundo______Tiempo________;;;Tercero______Tiempo________;Cuarto______Tiempo________;;;;Quinto______Tiempo________ Sexto______Tiempo_______ Séptimo______Tiempo_______;;;;;
4ª CARRERA;;PREMIO LARCA - LOTOTURF;;;;;;;Ganador;Quiniela;;;Trio Especial;A las 17:30 h.;
Al Trote Enganchado;;Distancia 2.375m.;;;PLACA NARANJA - NÚMERO NEGRO;;Matrícula 35€;;;Forfait 20% del premio;;;;;Autostart
2500€ en premios: 1200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º,;;;;;;.;;;;De tres y más años internacionales;;;;Cambio Conductor: 18€;
PROPIETARIO;Nº;CABALLO;;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMASR. Abs.R. Dist.CLASIF.;;;;ÚLTIMA CARRERA;
Jme. Martorell T.;1;TAISY GES (FR);;;A. VAQUER S.;J. A. Martorell T.;2.375;Ea8;Kaisy Dream-Ladora Delta;51.414;1170;1.19.1;5-0 -2-2 -1-(14)2;03.03.15 -5-SP-2650-A-1.17.3- M. RIERA B.;
Cdra. Sa Marina;2;QUITOU ROYAL (FR);;;G. RIERA;F. J. Sagrera;2.375;Ca11;Itou Jim-Ketty Sarthoise;58.230;1155;1.17.7;1-0-0-R-0-5;22.02.15 -1-MN-2375-A-1.19.6- J. A. RIERA;
Peña Bonanza;3;ROC APACHE (FR);;;J. BAUZA B.;J. C. Villalonga;2.375;Cc10;Tenor de Baune-Koline Apache;62.516;1150;-;2-7 -3-6 -5-4;03.03.15 -2-SP-2650-A-1.16.6- J. BAUZA B.;
Cdra. S´Oliveret;4;PHENIX DES EMOIS (FR);;;M. AMER (AP);M. Amer;2.375;Cc12;Full Account-Freyja;71.485;1158;1.17.4;0-3-3-0-D-(14)0;27.02.15 -0-SP-2650-A-0- J. C. ROTGER;
Cdra. Una Ilusió Negra;5;QUADRILLE DE NIMES (FR);;;P. SEBASTIA E.;P. Sebastia S.;2.375;Cc11;Eclat de la Crau-Jaya;72.194;1156;1.17.4;0-(14)R-4-2 -4-1;27.02.15 -0-SP-2650-A-0- M. RIERA B.;
Cdra. Sa Marina;6;STINGMENS (FR);;;J. A. RIERA;F. J. Sagrera;2.375;Cc9;Niky-Lamyride;78.050;1171;-;(14)9-0-5-9-D-8;06.12.14 -9-IN-2875-A-1.21.1- Estranger;
Cdra. Lorette;7;ROI (FR);;;A. RIERA B.;A. Riera B.;2.375;Ca10;Tenor de Baune-Folle Charmeuse;93.684;1158;1.18.8;7-3-0-7-4-(14)0;03.03.15 -7-SP-2650-A-1.17.1- A. RIERA B.;
Cdra. Toni i Juan;8;REGAL AUMONIERE (FR);;DA;Jme. FLUXA;A. Janer R.;2.375;Ca10;Baccarat du Pont-Kim Dhaumoniere;94.152;1152;1.18.7;2-0-0-7-(14)0-5;22.02.15 -2-MN-2375-A-1.18.7- Jme. FLUXA;
Peña Paris 2001;9;OTELLO DE L'ORMEAU (FR);;;M. RIERA B.;J. Muntaner B.;2.375;Cc13;Arisso d'Aunou-Grace des Rades;97.301;1147;1.17.1;5-5 -3-1-(14)0-6;03.03.15 -5-SP-2650-A-1.16.9- C. CRUELLAS;
Cdra. Ladil;10;SPEAKER MADRIK (FR);;;G. ANDREU;J. C. Villalonga;2.375;Ca9;Lilium Madrik-Janga d'Occagnes;100.942;1137;1.17.2;0-0 -0-0 -4-(14)D;03.03.15 -0-SP-2650-A-0- G. ANDREU;
Cdra. Ses Barraques;11;TUTTI MARCEUX (FR);;;A. GOMILA A.;A. Gomila A.;2.375;Cc8;Jag de Bellouet-Oriane Jolie;114.712;1143;1.19.1;6-4-(14)0-7-0-0;22.02.15 -6-MN-2375-A-1.19.1- A. GOMILA A.;
Penya Tots Quatre;12;RESET JET (FR);;;B. MASCARO;G. Vives S.;2.375;Ca10;Coktail Jet-Kyra;141.168;1137;-;D-0-D-(14)0 -2-0;08.03.15 -D-MN-2050-A-0- B. MASCARO;
Primero______Tiempo________;;Segundo______Tiempo________;;;Tercero______Tiempo________;Cuarto______Tiempo________;;;;Quinto______Tiempo________ Sexto______Tiempo_______ Séptimo______Tiempo_______;;;;;
5ª CARRERA;;PREMIO CLUB DE DAMES DEL TROT;;;;;;;Ganador;Quiniela;;;Trio;A las 18:00 h.;
1ª. Prova Torneig;;;;;;;;;;;;;;;
Al Trote Enganchado;;Distancia 2.375m.;;;PLACA AZUL - NÚMERO BLANCO;;Matrícula 35€;;;Forfait 20% del premio;;;;;Autostart
2500€ en premios: 1200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º,;;;;;;.;;;;De cuatro y más años internacionales;;;;Cambio Conductor: 18€;
PROPIETARIO;Nº;CABALLO;;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMASR. Abs.R. Dist.CLASIF.;;;;ÚLTIMA CARRERA;
D. Egidos;1;NUVOLOSO (IT);;;C. OLIVER S. (AP);M. Egidos;2.375;Cc8;Enjoy Lavec-Verona;17.823;1148;1.19.0;0-6-0-(14)0-D-D;03.03.15 -0-SP-2650-A-0- J. A. HERNANDEZ;
Quadra Grandchamp;2;TORNADE HAUFOR (FR);;;A. M. PRIETO C. (AP);M. Duran G.;2.375;Ea8;Hugo Barbes-Nymphe D'Haufor;18.942;1153;1.17.6;0-0 -0-4-5 -3;03.03.15 -0-SP-2650-A-0- M. DURAN G.;
Quadra Ca'n Toi;3;SIURELL;;;C. VELASCO;C. Velasco;2.375;Cc9;Hovercraft-Elisabet;25.531;1152;1.17.0;0-0-0-0-(14)0-4;22.02.15 -0-MN-2375-A-0- C. VELASCO;
Hnos. Riera B.;4;UNOSCOTT (FR);;;A. VAQUER S.;J. Muntaner B.;2.375;Ca7;Buvetier d'Aunou-Oscotia;32.840;1155;1.18.8;2-3 -1-(14)1-1-1;04.02.15 -2-SP-2650-A-1.20.5- M. RIERA B.;
Cdra. Son Vent;5;TOAO DAIRPET (FR);;;M. SERVERA;J. L. Capo;2.375;Cn8;Joao Panca-Lily Black;34.058;1175;1.18.4;0-0-D-D-7-D;27.02.15 -0-SP-2650-A-0- J. FLUXA;
B. Serra A.;6;SULTAN BS;;;S. POCOVI (AP);F. Bennasar;2.375;Cc9;Love You-Rydens Ravenna;34.262;1154;1.17.5;1-5-1-1-0 -0;08.03.15 -1-MN-1725-A-1.16.3- F. BENNASAR;
Hnos. Riera R.;7;TEVINNE DU SOLAT (FR);;;Mª. RIERA M. (AP);C. Riera M.;2.375;Ec8;Bassano-Helene Williams;34.660;1166;1.18.2;R-4-3-4-6-3;27.02.15 -R-SP-2150-A-0- Mª. RIERA M. (AP);
Cdra. H. M.;8;VINCENNES HM;;;R. ORFILA C. (AP);M. Mestre;2.375;Cc6;Goetmals Wood-Lindys Spring;40.832;1152;1.18.4;D-2-3-D-3-3;22.02.15 -D-DH-1800-A-0- M. MESTRE;
Cdra. Migjorn;9;RODRIGO MAGISTER (FR);;;M. AMER (AP);A. Riera A;2.375;Cc10;Arnaqueur-Aurore de suce;43.570;1165;1.18.2;2-2-0-3-1-(14)4;22.02.15 -2-MN-2375-A-1.19.6- A. RIERA A.;
Cdra. S'Alegria;10;TAMBORITO (FR);;;F. ANDREU;J. C. Villalonga;2.375;Cn8;Joker de Rozoy-Jaldrika;47.878;1157;-;0-(14)3-(13)0-D-(12)0-0;03.03.15 -0-SP-2650-A-0- F. ANDREU;
Peña Bar Vistamar II;11;UNCLE YIM CS;;;Mª. L. TUR;A. Frontera;2.375;Cc7;Atas Ace L-Pocahontas Gull;48.157;1149;1.18.4;7-7-2-2-R-0;08.03.15 -7-MN-1725-A-1.17.2- A. FRONTERA;
Cdra. Mogal Motor;12;QUENECET DU DROPT (FR);;;Mª. F. SUREDA;Mª. F. Sureda;2.375;Ca11;Blue Eyes America-Kadelia de Saleve;48.688;1156;1.17.5;6-0 -6-6-5 -0;03.03.15 -6-SP-2650-A-1.17.4- G. RIERA;
Primero______Tiempo________;;Segundo______Tiempo________;;;Tercero______Tiempo________;Cuarto______Tiempo________;;;;Quinto______Tiempo________ Sexto______Tiempo_______ Séptimo______Tiempo_______;;;;;
;;;;;;[image];;;;DIRECCIÓN DE COMUNICACIÓN;;;;;
;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;
;;;;;;;;;;www.loteriasyapuestas.es;;;;;
