Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Peña Cafeteria Es Reco;4;;ORATEUR (FR);J. C. ROTGER;P. Estelrich;2600;Ca13;Hugo Du Bossis (fr)-gitaine (fr);;376.101;1.11.9;5a-5a-4a(14)-5a-0a-6a
Cuadra H.m.;5;;PAPY CLAUDE (FR);M. MESTRE;M. Mestre;2600;Ca12;Urfist Des Pres (fr)-jenny Cup (fr);;175.329;1.13.2;1a-2a-3a-1a(14)-1a-1a
Cuadra Ca'n Tanca;6;D4;PALIO GEDE (FR);D. RODRIGUEZ R.;D. Rodriguez R.;2600;Cc12;Quadrophenio (fr)-baltique Gede;;182.770;1.13.6;(14)-Ra-0a-Da-0a-3a-0a
Cuadra Es Pou Florit S.;7;DA;SOLEIL DU MERLE (FR);M. A. BINIMELIS;M. A. Binimelis;2600;Ca9;Koktail De Perron (fr)-kiva Du Mo;;163.807;1.11.9;3a-1a-1a-2a(14)-2a-3a
4ª CARRERA;;;;Premio SELAE-LOTOTURF;;;;;;;;Alas 14:05 h.
Al trote enganchado;;;Distancia 1.800m.;PLACA NEGRA - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 25.000€;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Binimelis Garcias Sl;1;;BROK;M. A. BINIMELIS;M. A. Binimelis;1800;Cc4;Lodbrok H.h.-artarita Plu;;1.026;1.18.2;7a-4a(14)-4a-Da-4a-1a
Cuadra Son Mesquida V;2;D4;TITANIC BINIATI;A. FRONTERA;A. Frontera;1800;Ca8;Scotty Lobell (us)-moline De Pad d;;8.505;1.17.1;5a-Ra-4a-6a(14)-7a-0a
Cuadra Xisquet;3;DA;UFANA MISS;P. SEBASTIA E.;F. Servera Ll.;1800;Ec7;Suitable Rose (se)-jara Miss;;9.405;1.17.5;0a-0a-Da(14)-Da-0a-0a
Cuadra H.m.;4;DP;BENVENGUT EDEN;M. MESTRE;M. Mestre;1800;Cc4;Eden Bridge (fr)-elga Breton Gf;;3.262;1.17.9;Da-0a-3a(14)-3a-6a-5a
Cuadra Xisquet;5;;BIG BIG STAR;J. C. ROTGER;F. Servera Ll.;1800;Cc4;Kannibal (fr)-magistrada Ir;;1.574;1.18.3;0a(14)-7a-Da-Da-2a-3a
Cuadra Una Il·lusio Neg;6;;TALISMAN HANOVER;P. SEBASTIA S.;F. Servera Ll.;1800;Cc8;Eole (fr)-espiga Hanover;;7.317;1.16.5;Da-6a-5a(14)-Da-0a-Da
Peña Bonanza;7;;UONZE D'ESCAFI;G. ANDREU;J. C. Villalonga;1800;Cc7;Armbro Goal (us)-huella D'escafi;;7.988;1.17.7;0a-3a-6a(14)-0a-3a-Da
Hermanos Riera Riera;8;;VATNA BOCCA (FR);D. LOZANO;C. Riera M.;1800;Ec6;Jupiter D'opale (fr)-quatna Bonhe;;6.663;1.18.7;5a-6a-5a(14)-0a-6a-Da
Hermanos Moya Alema;9;;AVE CESAR;Mª. RIERA M. (AP);A. Frontera;1800;Cn5;Armbro Goal (us)-hills Tiara (us);;7.290;1.18.5;6a-4a-3a-4a(14)-4a-0a
Cuadra Italoiberica;10;;SOGNO CAPAR (IT);B. LLOBET R.;B. Llobet R.;1800;Cc4;Self Possesed(us)-imera Mp (it);;2.962;1.18.8;4a-2a-4a-5a(14)-1a-6a
5ª CARRERA;;;;Premio CRUZCAMPO;;;;;;;;Hasta 14:40 h.
Al trote enganchado;;;Distància 1.800m.;PLACA VERDE - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 5 y más años internacionales hasta 160.000€;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra Paula & Neus;1;;TARA DU PASTERET (FR);P. ESTELRICH;P. Estelrich;1800;Ec8;Jade Bocain (fr)-ketmie Money (fr;;54.248;1.13.8;1a-6a-4a-5a(14)-4a-5a
Peña Cafeteria Es Reco;2;;QING DU VIVIER (FR);A. SANCHEZ;P. Estelrich;1800;Ca11;Look De Star (fr)-ella Du Vivier (fr;;65.540;1.16.0;0a-5a-0a-0a(14)-5a-6a
Binimelis Garcias Sl;3;DA;HE'S A GANGSTER (SE);A. BINIMELIS G.;M. A. Binimelis;1800;Cc11;Viking Kronos -com Gretchen;;151.130;1.12.5;4a-4a-5a-4a(14)-3a-4a
Quadra Qualitrot;4;;RIVALE DES CHARMES (FR);G. ANDREU;J. C. Villalonga;1800;Ea10;First De Retz (fr)-samina De Gros;;157.492;1.12.9;7a-5a(14)-7a-4a-0a-0a
Cuadra H.m.;5;;OH TAP IN HM;J. A. HORRACH;M. Mestre;1800;Ca10;Tap In (us)-lindys Spring (se);;75.952;1.14.3;2a-3a(14)-3a-2a-3a-2a
Cuadra Calistro;6;;REVE DES VAUX (FR);B. RIUTORT;B. Riutort;1800;Ca10;Laetenter Diem (fr)-brunehaut (fr;;123.890;1.13.6;0a-5a-2a(14)-4a-4a
Peña Cafeteria Es Reco;7;;SOYEUX (FR);J. C. ROTGER;P. Estelrich;1800;Cc9;Kiwi (fr)-joyeuse (fr);;53.278;1.14.7;4a-0a-0a-0a(14)-0a-5a
Cuadra Ca'n Duran;8;DP;SOLITAIRE (FR);A. FRONTERA;P. Puigserver;1800;Cc9;Hasting (fr)-melusine Du Loir (fr);;105.640;1.15.0;Ra-1a-1a-6a(14)-1a-5a
Penya Fliper Star;9;;UN D'EN FLIPER;M. A. BINIMELIS;M. A. Binimelis;1800;Cc7;Fliper Star-artarita Plu;;56.518;1.15.2;1a-1a-6a-1a(14)-0a-1a
Cuadra Italoiberica;10;D4;SILENCE DES BOIS (FR);B. LLOBET R.;B. Llobet R.;1800;Cc9;King Du Perthoise (fr)-granita (fr);;92.390;1.14.5;0a(14)-7a-9a-3a-6a-4a
;;;;[image];;DIRECCIÓN DE COMUNICACIÓN;;;;;;
;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;
;;;;;;www.loteriasyapuestas.es;;;;;;
