Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
Hermanos Riera Riera;5;D4;;URBI DE L'ITON (FR);J. A. GARDES;C. Riera M.;1800;Cc7;Cygnus D'odyssee (fr)-manne De;;38.434;1.16.4;0a-Da-5a-Da-4a-4a
Penya Fliper Star;6;;;UN D'EN FLIPER;M. A. BINIMELIS;M. A. Binimelis;1800;Cc7;Fliper Star-artarita Plu;;65.488;1.15.2;1a-1a-1a-1a-1a-6a
Peña Cafeteria Es Reco;7;;;SOYEUX (FR);J. C. ROTGER;P. Estelrich;1800;Cc9;Kiwi (fr)-joyeuse (fr);;54.058;1.14.7;4a-6a-0a-4a-0a-0a
4ª CARRERA;;;;Premio SELAE-LOTOTURF;;;;;;;;;A las 14:05 h.
Al trote enganchado;;;;Distancia 1.800m.;PLACA NEGRA - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;;De 5 y más años internacionales hasta 400.000€;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Quadra Qualitrot;1;;;RADJAH D'HAUFOR (FR);J. VILLALONGA (AP);J. C. Villalonga;1800;Cc10;Dahir De Prelong (fr)-hanoukka (f;;#####;1.12.3;1a-1a-3a-2a-3a-2a
Peña Cafeteria Es Reco;2;;;ORATEUR (FR);J. C. ROTGER;P. Estelrich;1800;Ca13;Hugo Du Bossis (fr)-gitaine (fr);;#####;1.11.9;5a-4a-4a-5a-5a-4a
Cuadra Es Pou Florit S.l;3;;;DOMINO SUND (SE);Mª. RIERA M. (AP);M. A. Binimelis;1800;Ec8;Muscles Yankee (us)-euro Tara (u;;#####;1.13.9;0a-0a-5a-6a-6a-6a
Cuadra H.m.;4;;;PAPY CLAUDE (FR);M. MESTRE;M. Mestre;1800;Ca12;Urfist Des Pres (fr)-jenny Cup (fr);;#####;1.13.2;2a-2a-1a-1a-2a-3a
Cuadra Italoiberica;5;D4;;SILENCE DES BOIS (FR);B. LLOBET R.;B. Llobet R.;1800;Cc9;King Du Perthoise (fr)-granita (fr);;95.120;1.14.5;5a-3a-2a-0a(14)-0a-0a
Hermanos Riera Benna;6;;;PETIT COLONEL (FR);M. RIERA B.;J. Muntaner B.;1800;Ca12;Sancho Panca (fr)-armee (fr);;#####;1.15.1;4a-5a-0a-5a-0a-0a
Cuadra Ca'n Duran;7;DP;;SOLITAIRE (FR);A. FRONTERA;P. Puigserver;1800;Cc9;Hasting (fr)-melusine Du Loir (fr);;#####;1.15.0;6a-6a-3a-Ra-1a-1a
Binimelis Garcias Sl;8;DA;;HE'S A GANGSTER (SE);A. BINIMELIS G.;M. A. Binimelis;1800;Cc11;Viking Kronos -com Gretchen;;#####;1.12.5;3a-0a-5a-4a-4a-5a
Cuadra Es Pou Florit S.l;9;DA;;SOLEIL DU MERLE (FR);M. A. BINIMELIS;M. A. Binimelis;1800;Ca9;Koktail De Perron (fr)-kiva Du Mo;;n#####;1.11.9;Ra-3a-2a-3a-1a-1a
Cuadra H.m.;10;;;REGISPER CEHERE (FR);J. A. HORRACH;M. Mestre;1800;Cn10;Bon Conseil(fr)-legitime Defense;;#####;1.13.6;6a-0a-6a-0a-0a-3a
5ª CARRERA;;;;Premio CRUZCAMPO;;;;;;;;;A las 14:40 h.
Al trote enganchado;;;;Distancia 1.800m.;PLACA VERDE - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;;De 5 y más años internacionales hasta 50.000€;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra H.m.;1;D4;;UNA PASSADA HM;J. A. HORRACH;M. Mestre;1800;Ec7;Armbro Goal (us)-hija De Hooge;;28.107;1.15.7;5a-3a-5a-Ra-4a-1a
Cuadra Son Oms;2;;;SALEROSO;J. A. GARDES;P. Puigserver;1800;Cc9;Flamboyant Du Sec (fr)-fan Fan H;;31.136;1.15.8;2a-1a-1a-5a-5a-2a
Cuadra H.m.;3;DA;;VINCENNES HM;M. MESTRE;M. Mestre;1800;Cc6;Goetmals Wood (fr)-lindys Spring;;40.802;1.15.2;2a-3a-Da-3a-3a-2a
Hermanos Riera Riera;4;;;TEVINNE DU SOLAT (FR);Mª. RIERA M. (AP);C. Riera M.;1800;Ec8;Grassano (fr)-helene Williams (fr);;34.204;1.16.6;3a-4a-6a-3a-4a-0a
Cuadra Ramat Jove S.l.;5;DA;;ASTERIX SUND;A. FRONTERA;A. Frontera;1800;Cc5;Agatos (it)-roxette Sund (se);;39.342;1.15.1;5a-1a-1a-2a-1a-1a
Cuadra Can Somereta;6;;;THE KID DU DESERT (FR);M. RIERA B.;K. D. Gust;1800;Ca8;Kid Blue (fr)-lucie Des Douets (fr);;36.364;1.15.1;6a-0a(14)-Da-0m-Dm-0a
Cuadra Son Sard;7;;;TENOR DE KOR;J. C. ROTGER;J. A. Garcia;1800;Cc8;Armbro Goal (us)-auba Des Etang;;26.269;1.15.1;0a-5a-4a-2a-1a-5a
Penya Lancers;8;DA;;VIROT CR;J. VILLALONGA (AP);A. Frontera;1800;Cc6;Fairbank Gi (it)-guida Om (it);;41.697;1.15.2;1a-2a-2a-2a-3a-2a
Hermanos Riera Riera;9;DP;;TESTAROSSA CARNOT (FR);A. VAQUER S.;C. Riera M.;1800;Ea8;Kid Blue (fr)-koda De Neulliac (fr);;35.930;1.17.1;0a-0a-0a-4a-0a-0a
;;;;[image];;;DIRECCIÓN DE COMUNICACIÓN;;;;;;
;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;
;;;;;;;www.loteriasyapuestas.es;;;;;;
