Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;[image];Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;Programa de Carreras - 11 de enero de 2017;;;;;;;
;;;;;;;;;;Hipódromo de Son Pardo;;;;;;;
1ª CARRERA;;;;Premi ANGERS (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;A las 17:10;
;;;;;;;;;;TROTADOR FRANCES;;;;;;;
Hermanos Riera Vaquer;;;3;TROCKTAILO (FR);8;D4;M. RIERA B.;M. Riera B.;2650 Cc10;Capriccio (fr)-Iocktaila D'occ (fr);;177.314;1148;1.16.7;(16)-D-5m-4-6-2-4;10.12.16-D-SP-2650-A-0-J. RIERA S.;
Cuadra Ladil;;;4;SEOUDITE (FR);4;;F. BENNASAR;F. Bennasar;2650 Ea11;Dandy Chouan (fr)-Magic Destinee (fr);;131.775;1150;1.16.6;(16)-D-0-3-R-0-D;31.12.16-D-SP-2150-A-0-F. BENNASAR;
Peña Cafeteria Es Reco De S;a;;5;UNISSIMO (FR);12;;J. C. ROTGER;P. Estelrich;2650 Cc9;And Arifant (fr)-Caserne (fr);;123.590;1129;1.18.3;(16)-4-5;31.12.16-4-SP-2150-A-1.15.6-J. C. ROTGER;
Miguel Angel Huguet Vaquero;;;6;THALES DES CORVEES (FR);6;;B. LLOBET R.;B. Llobet R.;2650 Cc10;Capriccio (fr)-June Des Corvees (fr);;125.780;1146;1.18.0;(16)-7-4;31.12.16-7-SP-2150-A-1.16.1-B. LLOBET R.;
Cuadra Son Vall Fogo;;;7;QRISTO D'YMER (FR);8;;Jme. FLUXA;Jme. Fluxa;2650 Cc13;Jam Pridem (fr)-Gazelle D'ymer (fr);;149.687;1146;1.17.7;(16)-5-0-D-7-0-2;31.12.16-5-SP-2150-A-1.15.9-Jme. FLUXA;
Cuadra H.m.;;;8;SERGEY (FR);3;;G. ANDREU;H. Rigo;2650 Ca11;Look De Star (fr)-Elise De Couronne (fr);;171.467;1114;;(16)-0-3-4-2-6-4;24.12.16-0-SP-2650-A-0-G. POU;
Cuadra Toni I Joan;;;9;SET ET MATCH (FR);16;;J. A. RIERA;A. Janer R.;2650 Cc11;Du Bois De Santal (fr)-Macha Vernoise (fr);;110.392;1150;1.15.8;(16)-7-3-D-1-2-2;27.12.16-7-SP-2150-A-1.16.3-M. SERRA M.;
Cuadra Lorette;;;10;VALOINIC (FR);20;;A. RIERA B.;A. Riera B.;2650 Cc8;Kuadro Wild (fr)-Loi De Vrie (fr);;114.156;1139;1.15.2;(16)-2-1-1-4-1-D;31.12.16-2-SP-2150-A-1.15.5-A. RIERA B.;
3ª CARRERA;;;;Premi CRITERIUM DE VELOCITAT (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;A las 18:10;
Al Trote Enganchado;;;;Distancia 1.650m.;;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 45€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;;;;De 4 y más años, nacionales de libre inscripción.;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;Prono.;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Hermanos Mascaro Puigserve;r;;1;VASTERVIK JAZZ;6;;Jme. FLUXA;Jme. Fluxa;1650 Cc8;Yankee Slide (us)-Superstep (se);;36.823;1149;1.14.9;(16)-7-D-D-1-7-2;27.12.16-7-SP-2150-A-1.16.5-Jme. FLUXA;
Cuadras Es Cabanells;;;2;CHAPEAU DE FONT;4;DP;G. RIERA;Mª. F. Sureda;1650 Cc5;Repeat Love (fr)-Dalia De Kit;;39.219;1160;1.16.4;(16)-3-6-7-0-6-6;27.12.16-3-SP-2150-A-1.16.0-G. RIERA;
Maria Alomar Fontcuberta;;;3;VIUDE IR;8;D4;A. FRONTERA;M. Andreu M;1650 Ec8;Brandy Dei Fiori (it)-Galina V M (dk);;45.555;1152;1.15.2;(16)-2-0-D-2-3-1;31.12.16-2-SP-2150-A-1.16.3-Jme. FLUXA;
Cuadra Ca's Padri Toni;;;4;VITALIC;12;D4;B. MASCARO;B. Mascaro;1650 Cc8;Dexter Tilly (se)-Amazing Girl (se);;58.848;1143;1.14.8;(16)-2-D-0-1-1-1;31.12.16-2-SP-2650-A-1.16.0-B. MASCARO;
Quadres Valls Rullan;;;5;BLACK POWER;6;D4;A. VALLS;A. Valls;1650 Cc6;Magistral-Miky Power;;44.861;1146;1.14.6;(16)-7-0-0-0-5-1;31.12.16-7-SP-2650-A-1.16.3-A. VALLS;
Peña Bonanza;;;6;VITORINO MAR;20;;M. MESTRE;R. Orfila C.;1650 Cc8;Eole (fr)-Kosmorama (se);;72.711;1152;1.15.2;(16)-1-D-4-1-5-1;31.12.16-1-SP-2650-A-1.15.9-M. MESTRE;
Juan Lliteras Mulet;;;7;OH DECO SB;14;D4;J. RIERA S.;Mª. F. Sureda;1650 Cc12;Uronometro (it)-Faras Sb;;91.034;1133;1.13.7;(16)-5-1-2-0-6-3;31.12.16-5-SP-2650-A-1.16.3-G. RIERA;
Cuadra Ca'n Duran;;;8;AQUILES DURAN;18;D4;G. ANDREU;G. Andreu;1650 Cc7;Lamitech Hanover (us)-Veronica (no);;56.494;1143;1.15.9;(16)-3-2-1-2-6-5;31.12.16-3-SP-2650-A-1.16.1-G. ANDREU;
Quadra Sa Roca Des Castelle;t;;9;VANVUIT BG;5;;M. RIERA B.;M. Riera B.;1650 Cc8;Amadeus Om (it)-Embarazada I.t. (se);;40.507;1149;1.14.9;(16)-0-1-D-5-0-6;31.12.16-0-SP-2650-A-0-M. RIERA B.;
Instalaciones Andres Vich;;;10;CLAUDY'S CROWN;7;DP;J. FLUXA;M. Vich C.;1650 Ea5;Password (fr)-Lindys Spring (se);;32.104;1149;1.14.9;(16)-1-2-2-1-D-1;20.12.16-1-SP-2650-A-1.22.5-J. FLUXA;
4ª CARRERA;;;;Premi HURACAN QUITO (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;A las 18:40;
;;;[image];;;;;;;;;;;;;;
Al Trote Enganchado;;;;Distancia 2.650m.;;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 43€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5750€ en premios: 2.646 al 1º, 1.322 al 2º, 690 al 3º, 402 al 4º, 288 al 5º, 230 al 6º, 172 al 7º;;;;;;De 5 y más años, nacionales 16.000 / 25.999,99 €.;;;;;;;
PROPIETARIO;;Nº;;CABALLO;Prono.;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Hermanos Pastor Serra;;;1;AIRE DE SA SINIA;10;;M. PASTOR S.;M. Pastor S.;2650 Cc7;Gros Grain (fr)-Chanel Du Nord (se);;24.098;1161;1.17.4;5(16)-3-4-2-5(15)-D;04.01.17-5-SP-2650-A-1.18.9-M. PASTOR S.;
Cuadra Ca'n Tanca;;;2;ATOMIC ATAC;1;;J. C. ROTGER;A. Adrover M.;2650 Cc7;Captain Cook (us)-Miss Laramie Df;;22.130;1155;1.17.8;(16)-6-4-7-4-0-0;20.12.16-6-SP-2650-A-1.23.0-J. C. ROTGER;
Antonio Alzamora Massanet;;;3;TIO XISCO;1;;G. ANDREU;A. Alzamora;2650 Cc10;Strauss Or (it)-Farfalla Barb (it);;16.997;1175;1.19.6;(16)-D-D-D-0-5-D;20.12.16-D-SP-2650-A-0-G. ANDREU;
Cuadra Son Mas Vell;;;4;BEST IN;7;DA;A. FRONTERA;A. Frontera;2650 Ec6;Tap In (us)-Bix Bride (se);;23.638;1164;1.17.4;4(16)-0-7-0-5-5;04.01.17-4-SP-2650-A-1.18.9-A. FRONTERA;
Cuadras Cafe 1990;;;5;BONNIE SAS;3;DP;Jme. FLUXA;M. Andreu M;2650 Ec6;Idjet Mab (fr)-Torina Sas;;25.480;1172;1.17.4;(16)-R-3-5-3-0-3;31.12.16-R-SP-2650-A-0-Jme. FLUXA;
Cuadra Na Primeta;;;6;ALÇINA DES MASSOS;12;D4;J. RIERA S.;J. Riera S.;2650 Ec7;Fast Photo (us)-Antonia Starline (se);;25.028;1163;1.17.0;(16)-2-3-6-3-4-4;27.12.16-2-SP-2150-A-1.17.7-J. RIERA S.;
Cuadra Herald;;;7;BEN MERVAL;7;DP;J. A. RIERA;B. Bennasar;2650 Cc6;Never More (fr)-Lyn Del Norte;;21.038;1169;1.17.8;(16)-7-6-3-0-2-0;31.12.16-7-SP-2650-A-1.18.2-B. BENNASAR;
Cuadras Cafe 1990;;;8;BECKER SAS;2;D4;J. BAUZA B.;M. Andreu M;2650 Cc6;Idjet Mab (fr)-Fatina Trio (it);;23.682;1162;1.18.3;(16)-0-6-0-0-5-6;27.11.16-0-SP-2200-A-0-M. MATAMALAS;
Peña Bonanza;;;9;VALENT;9;D4;A. VALLS;R. Orfila C.;2650 Cc8;Captain Cook (us)-Elisabet;;25.217;1159;1.16.8;(16)-4-2-4-5-3-2;31.12.16-4-SP-2650-A-1.18.0-M. MESTRE;
Peña Bonanza;;;10;BISKIT SILVA;25;;M. MESTRE;R. Orfila C.;2650 Cc6;C Super Chancen (dk)-Zoot Run (se);;25.554;1176;1.17.6;2(16)-5-2-1-4-D;04.01.17-2-SP-2650-A-1.18.7-M. MESTRE;
Cuadra Salamanca;;;11;BAKUGAN;3;;F. POURREAU;Jme. Salamanca G.;2650 Cn6;Lets Go (de)-Danya Tr;;22.465;1158;1.18.1;(16)-0-1-3-6-D-0;24.12.16-0-SP-2650-A-0-S. SALORD;
Eugues De Flo Sl;;;12;CARRITX DE FLO;20;D4;A. BOSCH M.;M. Florit;2650 Cn5;Exelon;Lb (it)-Prima Da (se);19.066;1162;1.18.2;(16)-1-5-1-7-2-2;20.12.16-1-SP-2650-A-1.21.7-A. BOSCH M.;
5ª CARRERA;;;;Premi LUCANA (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;A las 19:10;
Al Trote Enganchado;;;;Distancia 2.650m.;;;PLACA ROJA - NUMERO BLANCO;;;Matrícula 34€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;4500€ en premios: 2.070 al 1º, 1.036 al 2º, 540 al 3º, 314 al 4º, 226 al 5º, 180 al 6º, 134 al 7º;;;;;;De 4 y más años, nacionales de 2.500 / 5.999,99 €.;;;;;;;
PROPIETARIO;;Nº;;CABALLO;Prono.;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Penya Silver Mixo;;;1;DISTRICTE DURAN;1;;B. MASCARO;P. Puigserver;2650 Ec4;Never More (fr)-Why Not Gin (se);;4.096;1192;1.22.7;(16)-5-D-5-D-0-5;27.12.16-5-SP-2150-A-1.20.6-B. MASCARO;
Caterina Riutort Torrijos;;;2;CLASICA DE FONT;6;;B. RIUTORT;B. Riutort;2650 Ec5;Password (fr)-Nobella Sund (se);;4.840;1188;;3(16)-4-0-3-0-D;04.01.17-3-SP-2150-A-1.19.0-B. RIUTORT;
Pedro Mir Gomila;;;3;BRISA DES COLL;1;;M. MIR;M. Mir;2650 Ec6;Sirgio (us)-Vauma De Maig;;3.485;1192;1.20.5;0(16)-0-7-0-0-0;04.01.17-0-SP-2150-A-0-M. MIR;
Penya Una Cama Perhom;;;4;CABANETA;1;;F. ANDREU;J. Pascual A.;2650 Ec5;Rommel (de)-Bellissima M;;5.318;1191;1.20.5;(16)-D-0-D-D-3-5;24.12.16-D-SP-2150-A-0-F. ANDREU;
Hermanos Pastor Serra;;;5;CUQUET STAR;1;;M. PASTOR S.;M. Pastor S.;2650 Cc5;Repeat Love (fr)-Erica Star;;4.073;1190;1.22.4;0(16)-D-D-7-D-R;04.01.17-0-SP-2150-A-0-M. PASTOR S.;
Cuadra Ca'n Duran;;;6;DURAN DURAN;8;;O. PUIGSERVER;P. Puigserver;2650 Cc4;Never More (fr)-Veronica (no);;2.634;1194;;(16)-D-3-2-2-5-D;27.12.16-D-SP-2150-A-0-O. PUIGSERVER;
Cuadra Es Pou Florit S.l.;;;7;DELARAMAN;8;;M. A. BINIMELIS;M. A. Binimelis;2650 Cc4;Alesi Om (it)-Nilda Biniati;;2.656;1181;;R(16)-2-1-0-6-5;04.01.17-R-SP-2150-A-0-M. A. BINIMELIS;
Cuadra Son Cosmet;;;8;DON'T GO;15;;D. OLIVER;D. Oliver;2650 Cc4;Lets Go (de)-Tauba;;5.496;1179;;(16)-4-2-2-1-0-2;24.12.16-4-SP-2150-A-1.19.6-D. OLIVER;
Penya Opium;;;9;CATA IR;2;;S. POCOVI;F. Bennasar;2650 Ec5;Trebol-Galina V M (dk);;5.430;1186;1.19.9;(16)-7-D-7-3-2-5;31.12.16-7-SP-2650-A-1.20.9-S. POCOVI;
Cuadra Xisquet;;;10;AIRES P.J.;1;;P. SEBASTIA E.;F. Servera Ll.;2650 Cc7;Aires San Luis-Gunde Thoury;;3.184;1199;1.20.2;D(16)-0-5-0-D-D;04.01.17-D-SP-2150-A-0-P. SEBASTIA E.;
Peña Bonanza;;;11;BE TE AR;14;D4;M. MESTRE;R. Orfila C.;2650 Cn6;Amadeus Om (it)-Vonita;;5.759;1183;1.20.6;4(16)-1-D-2-5-D;04.01.17-4-SP-2650-A-1.20.6-M. MESTRE;
Hnas. Roig B.;;;12;BUONASERA;8;;A. VALLS;G. Roig A.;2650 Ec6;Magistral-Guspira Br;;3.190;1187;;4(16)-7-3-2-2-2;04.01.17-4-SP-2150-A-1.19.1-A. VALLS;
Cuadra Yamo-llevant;;;13;DUC DE LLEVANT;18;;A. FRONTERA;A. Frontera;2650 Cc4;Algiers Hall (us)-Terra De Llevant;;5.764;1181;1.21.3;(16)-1-3-D-5-7-5;31.12.16-1-SP-2150-A-1.18.1-A. FRONTERA;
Cuadra Ses Barrioles;;;14;DANDY MAKER SB;16;D4;J. A. RIERA;A. Roca;2650 Cc4;Uronometro (it)-Omni Maker Sb;;5.134;1186;1.21.3;(16)-1-5-6-1-1-1;06.12.16-1-SP-2150-A-1.18.6-J. A. RIERA;
;;;;;;;[image];;;DIRECCIÓN DE COMUNICACIÓN;;;;;;;
;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;
;;;;;;;;;;www.loteriasyapuestas.es;;;;;;;
