Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Programa de Carreras - 7 de febrero de 2018;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
Antonio Gelabert Olive;;r;;1;ART DE BINITAREF;;J. BAUZA B.;A. Gelabert O.;##;Cn8;Dexter Tilly (se)-Fosca De Lluna;;;28.228;1150;;1174;(17)-1-0-D-1-1-6;;06.11.17-1-SP-2650-A-1.18.6-J. BAUZA B.;;
Cuadra Herald;;;;2;BEN MERVAL;DP;B. BENNASAR;B. Bennasar;##;Cc7;Never More (fr)-Lyn Del Norte;;;29.948;1169;;1173;5-5(17)-D-1-2-1;;17.01.18-5-MN-2375-A-1.19.2-B. BENNASAR;;
Quadra Si Ho Se;;;;3;CELEBRITY SB;D4;J. A. RIERA;J. J. Miquel;##;Ec6;From Above (se)-Amazzonia Amb;;;22.775;1164;;1182;0-D-D-3(17)-0-0;;24.01.18-0-SP-2150-A-0-J. A. RIERA;;
Cuadra Nadal Bonet;;;;4;UNA DUNA;;Jme. BASSA R.;M. Nadal;##;Ec10;S J's Photo (us)-Hinka Das Pont;;;25.891;1163;;1179;1-1-1(17)-D-4-0;;24.01.18-1-SP-2150-A-1.17.3-Jme. BASSA R.;;
Cuadra Ladil;;;;5;CARBO DE LADIL;;Jme. FLUXA;J. Pocovi;##;Cn6;Lets Go (de)-Avalon Flower (us);;;24.278;1167;;1170;(17)-7-4-2-0-D-D;;26.12.17-7-SP-2150-A-1.17.3-S. POCOVI;;
Cuadra Lloritana;;;;6;AVATAR;;J. FORTEZA R.;M. A. Reinoso;##;Cc8;Job D'udon (fr)-Magrana;;;21.120;1176;;1186;5(17)-6-D-7-6-1;;24.01.18-5-SP-2150-A-1.17.6-J. FORTEZA R.;;
Cuadra Yamo-llevant;;;;7;CAP DE LLEVANT;;J. RIERA S.;A. Frontera;##;Cc6;From Above (se)-Sal De Llevant;;;25.052;1167;;1186;2-2(17)-1-0-7-0;;24.01.18-2-SP-2150-A-1.17.5-A. FRONTERA;;
Cuadra C'an Pou, S.l.;;;;8;CALENTA;;A. POU H.;M. Riera B.;##;Ec6;Trebol-Nadia Star;;;27.164;1168;;1177;3-7(17)-4-2-1-0;;31.01.18-3-SP-2150-A-1.17.8-A. POU H.;;
Hermanos Fuster Andr;e;;;9;VENC DE BOKO;;J. FUSTER A. (AP);J. Fuster S.;##;Ca9;Fast Photo (us)-Innocent Kemp (f;;;20.754;1173;;1185;4(17)-2-5-1-1-1;;17.01.18-4-MN-2375-A-1.17.6-J. FUSTER A.;;
Cuadras Morro;;;;10;CHANEL DE FONT;;M. MESTRE;A. Gomez F.;##;Ec6;Quatre Juillet (fr)-Olga De Font;;;21.732;1164;;1175;7(17)-3-D-6-2-1;;15.01.18-7-SP-2650-A-1.20.1-Jme. FLUXA;;
Cuadra Italoiberica;;;;11;DIDAL ALLES;;A. FRONTERA;A. Frontera;##;Cc5;Algiers Hall (us)-Urania Alles;;;28.495;1167;;1177;0(17)-3-3-6-0-3;;31.01.18-0-SP-2150-A-0-A. BROGLIA;;
Hermanos Pastor Serra;;;;12;AIRE DE SA SINIA;;M. PASTOR S.;M. Pastor S.;##;Cc8;Gros Grain (fr)-Chanel Du Nord (;;s;24.294;1161;;1174;D-D-0(17)-7-6-R;;24.01.18-D-SP-2150-A-0-D. OLIVER;;
Hermanos Fluxa-gomil;;;;a 13;BERNARDO MAN;;J. FLUXA;M. Fluxa S.;##;Cc7;Uronometro (it)-Galia Pride;;;24.304;1166;;1174;6-0-6-3-4(17)-3;;31.01.18-6-SP-2150-A-1.18.0-Jme. FLUXA;;
3ª CARRERA;;;;;Premi ROQUEPINE (PREMIUM);;;;;;Ganador;;;Quiniela;;;;Trio;;A las 18:40;;
Al Trote Enganchado;;;;;Distancia 2.650m.;;PLACA ROJA - NUMERO BLANCO;;;;Matrícula 45€;;;Forfait % del premio;;Cambio Conductor 18€;;;;;Autostart;
;;;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;;;;;Yeguas de 3 i más años, internacionales de libre inscripción.;;;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He. CONDUCTOR;;;ENTRENADORDISTSCE;ORIGEN;;;SUMASR.AbsR.DistCLASIF.;;;;;;ULTIMA CARRERA;;
Maria Alomar Fontcube;;;;1;VIUDE IR;DA;Jme. FLUXA;M. Andreu M.;##;Ec9;Brandy Dei Fiori (it)-Galina V M (;;;d 52.879;1144;;1168;5(17)-3-6-4-5-D;;15.01.18-5-SP-2650-A-1.18.6-Jme. FLUXA;;
Cuadra Es Pou Florit S.;;;;2;BAHIA D'HERMINE (FR);;M. A. BINIMELIS;M. A. Binimelis;##;Ec7;Gai Brillant (fr)-Princess Charme;;;u 93.042;1144;;1182;6-6(17)-0-4-0-7;;17.01.18-6-MN-2375-A-1.17.9-M. MESTRE;;
Cuadras B.r.;;;;3;VALLEE DE CARSI (FR);;Jme. BASSA R.;J. L. Mas G.;##;Ea9;Kenor De Cosse (fr)-Oceanie De;;;B 55.424;1161;;1174;0(17)-4-6-7-4-0;;15.01.18-0-SP-2650-A-0-Jme. BASSA R.;;
Rosen Slavchev Rusev;;;;4;DAFI RS;;M. MESTRE;R. Orfila C.;##;Ec5;Terlan Du Fort-Janis Somolli (se);;;53.272;1153;;1169;1-2(17)-1-3-2-1;;24.01.18-1-SP-2150-A-1.16.1-J. A. RIERA;;
Cuadra Ladil;;;;5;ULTREIA DU PIN (FR);;S. POCOVI;J. Pocovi;##;Ec10;Nem (fr)-Hermine Bai (fr);;;121.173;1142;;1184;0(17)-5-0-5-7-3;;15.01.18-0-SP-2650-A-0-J. BAUZA B.;;
Benjamin Goetz;;;;6;URSULINE GIBUS (FR);;A. VALLS;M. Vich;##;Ec10;Favori (fr)-Olympe Gibus (fr);;;153.600;1146;;1177;6(17)-D-2-3-2-2;;15.01.18-6-SP-2650-A-1.18.7-A. VALLS;;
Cuadra Ca'n Prim;;;;7;VAEVA PRIDE (FR);;A. RIERA B.;A. Riera B.;##;Ec9;Kuadro Wild (fr)-Maeva Du Ponch;;;135.272;1143;;1161;4-1(17)-2-3-5-5;;15.01.18-4-SP-2650-A-1.18.6-A. RIERA B.;;
Cuadra Pae Balears 20;;;;8;BAMBA DU PONTHIEU (FR);;A. FRONTERA;A. Frontera;##;Ea7;Oyonnax (fr)-Oree Du Ponthieu (f;;;56.492;1162;;1176;1(17)-1-1-6-1-2;;15.01.18-1-SP-2650-A-1.18.5-A. FRONTERA;;
Hermanas Massanet Gi;;;;9;BELLA DES MOYEUX (FR);;J. CARRERAS P.;J. Carreras P.;##;Ec7;Nuage Noir (fr)-Hella D'ablon (fr);;;26.040;1159;;;;Debutante;;;
Cuadra Carlitos;;;;10;TOPAZE CILAO (FR);;B. SALAS;B. Salas;##;Ea11;Forkaholic Vinoir(fr)-Venus Du H;;a;101.517;1154;;1162;3(17)-4-0-1-1-2;;15.01.18-3-SP-2650-A-1.18.6-B. SALAS;;
Cuadra H.m.;;;;11;ALMA HAUFOR (FR);;J. C. ROTGER;J. C. Rotger;##;Ea8;Notre Haufor (fr)-Mamba D'haufo;;;48.733;1158;;1170;0(17)-6-7-0-D-6;;15.01.18-0-SP-2650-A-0-J. C. ROTGER;;
Cuadra Toni I Joan;;;;12;AUBLADA DU BOUCHET (FR);;M. RIERA B.;M. Riera B.;##;Ea8;Light Up De Vonnas (fr)-Ozana D;;;29.192;1165;;1171;0-7-4-3(17)-6-3;;31.01.18-0-SP-2150-A-0-M. RIERA B.;;
4ª CARRERA;;;;;Premi FORMENTERA (PREMIUM);;;;;;Ganador;;;Quiniela;;;;Trio;;A las 19:10;;
Al Trote Enganchado;;;;;Distancia 2.150m.;;PLACA LILA - NUMERO BLANCO;;;;Matrícula 41€;;;Forfait % del premio;;Cambio Conductor 18€;;;;;Autostart;
;;;;;5500€ en premios: 2.530 al 1º, 1.266 al 2º, 660 al 3º, 384 al 4º, 276 al 5º, 220 al 6º, 164 al 7º;;;;;;De 4 y más años, nacionales de 14.000 / 19.999,99 €.;;;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He. CONDUCTOR;;;ENTRENADORDISTSCE;ORIGEN;;;SUMASR.AbsR.DistCLASIF.;;;;;;ULTIMA CARRERA;;
Cuadras Biniati;;;;1;VINABEL BINIATI;D4;J. A. RIERA;Ant. Orfila S.;##;Ec9;Valley Mist (us)-Labell Biniati;;;15.580;1158;;1168;0-1-0-0(17)-4-0;;24.01.18-0-SP-2150-A-0-Mª. RIERA M.;;
Bernardo Jaume Cirer;;;;2;BOS BONY;DA;A. FRONTERA;M. Andreu M.;##;Cc7;Juliano Star (fr)-My Love;;;19.830;1161;;1171;R(17)-D-5-4-0-6;;15.01.18-R-SP-2650-A-0-J. A. RIERA;;
Cuadra Es Viñet Vell Ii;;;;3;BRANDY D'AS PONT;;P. SEBASTIA E.;L. Orell;##;Cc7;Never More (fr)-Overive Crown;;;14.220;1167;;1167;0-7(17)-0-D-R-R;;24.01.18-0-SP-2150-A-0-P. SEBASTIA E.;;
Hermanos Miquel Gom;;;;4;BRANGELINA D'ESCAFI;;D. OLIVER;A. Miquel G.;##;Ec7;Yankee Slide (us)-Cuna D'escafi;;;16.518;1175;;1181;0-3-D(17)-D-6-6;;31.01.18-0-SP-2650-A-0-D. OLIVER;;
Cuadra Ladil;;;;5;BONA D'ORKI;DA;Jme. FLUXA;J. Pocovi;##;Ec7;C Super Chancen (dk)-Orki B;;;18.695;1169;;1173;7(17)-0-D-D-5-D;;24.01.18-7-SP-2150-A-1.17.7-Jme. FLUXA;;
Cuadra Vich-capo;;;;6;BAMBINA D'ESCAFI;;Mª. LLINAS;M. Vich;##;Ec7;Brandy Dei Fiori (it)-Huella D'esc;;;16.246;1155;;1179;(17)-1-5-2-4-0-1;;25.11.17-1-MN-2050-A-1.18.2-M. VICH;;
Quadres Valls Rullan;;;;7;CAPRITXOS;D4;A. VALLS;A. Valls;##;Cc6;Universal-Just Alone (nl);;;18.046;1170;;1170;(17)-D-5-0-6-D-0;;11.11.17-D-MN-1725-A-0-A. VALLS;;
Catalina Mesquida Bar;r;;;8;BAMBI GR;;J. PASTOR;J. Pastor;##;Cc7;Leo Josselyn (fr)-Bell-one (dk);;;17.157;1176;;1178;7-0-0-R(17)-7-0;;31.01.18-7-SP-2650-A-1.18.5-B. PASTOR M.;;
Cuadras Son Sama;;;;9;DIXIE SS;;M. A. MARTI;F. J. Marti;##;Ec5;C Super Chancen (dk)-Tilde Di M;;;17.364;1167;;1167;4-D-2-7-1(17)-5;;31.01.18-4-SP-2650-A-1.18.3-J. A. RIERA;;
Cuadras Cafe 1990;;;;10;EROS SAS;;M. MATAMALAS;M. Andreu M.;##;Cc4;Tidjet Sas-Invidia Del Nord (it);;;14.262;1156;;1164;2-4(17)-3-D-2-1;;24.01.18-2-SP-2150-A-1.17.4-M. MATAMALAS;;
Bartolome Serra Amen;;;;11;CARRITX SR;;F. BENNASAR;F. Bennasar;##;Cc6;Eole (fr)-Edda Vg (it);;;18.178;1172;;1172;3-D(17)-D-4-1-D;;31.01.18-3-SP-2650-A-1.18.2-O. PUIGSERVER;;
Cuadra Veloz;;;;12;DRAC MAGIC;;M. RIERA B.;M. Riera B.;##;Ca5;Oh Deco Sb-Espira Des Bosc;;;18.288;1166;;1166;0-4-4-4-6(17)-6;;31.01.18-0-SP-2650-A-0-M. RIERA B.;;
5ª CARRERA;;;;;Premi EIVISSA (PREMIUM);;;;;;Ganador;;;Quiniela;;;;Trio;;A las 19:40;;
Al Trote Enganchado;;;;;Distancia 2.650m.;;PLACA ROSA - NUMERO NEGRO;;;;Matrícula 28€;;;Forfait % del premio;;Cambio Conductor 18€;;;;;Autostart;
;;;;;3750€ en premios: 1.726 al 1º, 862 al 2º, 450 al 3º, 262 al 4º, 188 al 5º, 150 al 6º, 112 al 7º;;;;;;De 4 y más años, nacionales de 2.000 / 4.999,99 €.;;;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He. CONDUCTOR;;;ENTRENADORDISTSCE;ORIGEN;;;SUMASR.AbsR.DistCLASIF.;;;;;;ULTIMA CARRERA;;
Cuadra Son Peladí;;;;1;DALLAS VICTORY;;Mª. A. GELABERT;R. Matas M.;##;Cc5;Musigny Degato (se)-Miss Victory;;;3.550;1179;;;3-0-D(17)-0-2-0;;24.01.18-3-SP-2150-A-1.19.9-Mª. A. GELABERT;;
Cuadra H.m.;;;;2;EIS DE FLO;;J. BAUZA B.;J. C. Rotger;##;Cc4;Sambro Goal Gm-Lanima De Flo;;;3.092;1184;;1217;0-5-D(17)-2-6-5;;24.01.18-0-SP-2150-A-0-J. BAUZA B.;;
Cuadra H.m.;;;;3;DREAM STAR HM;;J. C. ROTGER;J. C. Rotger;##;Cc5;Goetmals Wood (fr)-Une Star Pho;;;3.783;1187;;;D-D-4(17)-4-4-1;;24.01.18-D-SP-2150-A-0-J. C. ROTGER;;
Cuadra Restaurante La;;;;4;EOLO SB;;B. RIUTORT;B. Riutort;##;Cc4;Brandy Dei Fiori (it-Iucla Axe (it);;;3.318;1188;;1204;6-7-3-7-2(17)-D;;31.01.18-6-SP-2150-A-1.19.5-B. RIUTORT;;
Cuadra Herald;;;;5;DEBESEI CM;D4;B. BENNASAR;B. Bennasar;##;Cc5;Strauss Or (it)-Leyla Index;;;4.954;1191;;1213;6-7(17)-6-1-3-3;;24.01.18-6-SP-2150-A-1.20.2-B. BENNASAR;;
Cuadras Crespi;;;;6;BIG BOSS;;G. CRESPI;S. Crespi;##;Cc7;Olympia Fields (us)-Howdoilook (;;;3.930;1188;;;(17)-4-4-1-2-0-0;;06.11.17-4-SP-2150-A-1.21.1-G. CRESPI;;
Pedro Mir Gomila;;;;7;BRISA DES COLL;;M. MIR;M. Mir;##;Ec7;Sirgio (us)-Vauma De Maig;;;4.431;1192;;1205;0-0-0(17)-0-0-0;;24.01.18-0-SP-2150-A-0-M. MIR;;
Hermanos Tous Roca;;;;8;DUNA ROSSA;;M. RIERA B.;M. Riera B.;##;Ea5;Odin Des Nells-Vasterbo Atanyti;m;;2.576;1191;;;3(17)-0-2-4-6-D;;31.01.18-3-SP-2150-A-1.20.0-M. RIERA B.;;
Cuadra Tia Joana;;;;9;EIMA;;T. BOSCH;M. Bosch;##;Ec4;Olgado (fr)-Llepoleta;;;3.212;1195;;;(17)-R-6-1-3-1-D;;26.12.17-R-SP-2150-A-0-T. BOSCH;;
Cuadra Son Cosmet;;;;10;DON QUERQUES;;D. OLIVER;D. Oliver;##;Cc5;Warren Boko (se)-S'auba De Mai;;g;4.382;1191;;1208;4-7-1(17)-3-D-D;;24.01.18-4-SP-2150-A-1.20.2-D. OLIVER;;
Cuadra Ja Vorem;;;;11;DEVERTIT;;M. BOSCH;M. Bosch;##;Cc5;Shaft (se)-Ginesta Clissa;;;3.576;1197;;1215;R-3-1-0(17)-4-1;;24.01.18-R-SP-2150-A-0-M. BOSCH;;
Cuadras Morro;;;;12;ES BOU DE FONT;;J. CARRERAS P.;J. Morro;##;Cc4;Musigny Degato (se)-Olga De Fo;;n;4.546;1185;;;5-1(17)-2-3-1-2;;24.01.18-5-SP-2150-A-1.20.2-J. CARRERAS P.;;
Quadres Valls Rullan;;;;13;CASTIGOS;DP;A. VALLS;A. Valls;##;Cn6;Magistral-Hola Scot M;;;4.608;1181;;1200;4-0-3-5(17)-6-0;;31.01.18-4-SP-2150-A-1.18.6-A. VALLS;;
Cuadra Hortensia;;;;14;DIADA DEL NORTE;;S. BARCELO;S. Barcelo;##;Ec5;Agatos (it)-Lyn Del Norte;;;3.557;1199;;1215;4-3(17)-0-7-6-6;;15.01.18-4-SP-2650-A-1.21.5-S. BARCELO;;
Quadra Mon Electric;;;;15;BEN BE;;G. SUREDA;G. Sureda;##;Ec7;Prudence (fi)-Gleam Bowl;;;3.847;1191;;1213;0-0-0-D(17)-0-0;;24.01.18-0-SP-2150-A-0-G. SUREDA;;
Cuadra Kolev;;;;16;DATIL DES LLORER;;G. RIERA;Mª. F. Sureda;##;Cc5;Durango King (it)-Lass Adria (se);;;2.776;1191;;;5-5-2(17)-3-D-D;;31.01.18-5-SP-2150-A-1.20.1-G. RIERA;;
;;;;;;;;;;;DIRECCIÓN DE COMUNICACIÓN;;;;;;;;;;;
;;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;;;;;
;;;;;;;;;;;www.loteriasyapuestas.es;;;;;;;;;;;
