Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;[image];Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
;;;;;;;;;Programa de Carreras - 10 de febrero de 2016;;;;;;;;;;
;;;;;;;;;Hipódromo Son Pardo;;;;;;;;;;
1ª CARRERA;;;;Premi SALON DE PROVENCE (PREMIUM);;;;;Ganador;;;;Quiniela;;;Trio;;A las 18:10;
;;;;;;;;;TROTADOR FRANCES;;;;;;;;;;
Peña Bailon;;;1;ALEGRIA LOVE;;G. FUSTER;B. Fuster;2150 Ec6;Musigny Degato (se)-Egara Kid Gs;;;;8.902;1177;1.18.0;6-3-0(15)-D-5-0;;03.02.16-6-SP-2650-A-1.20.6-G. FUSTER;
Cuadras Biniati;;;2;VINABEL BINIATI;D4;J. CARRERAS P.;Ant. Orfila Ll.;2150 Ec7;Valley Mist (us)-Labell Biniati;;;;10.554;1167;1.16.8;0(15)-0-0-0-0-0;;19.01.16-0-SP-2150-A-0-C. CRUELLAS;
Rafael Amengual Fiol;;;3;VIKINGO JUNIOR;;G. RIERA;Mª. F. Sureda;2150 Cc7;Vikingo-Nannsong Tara Gs;;;;9.196;1179;1.17.9;0-1-D(15)-0-D-D;;03.02.16-0-SP-2650-A-0-G. RIERA;
Eugues De Flo Sl;;;4;CARRITX DE FLO;;A. BOSCH M.;M. Florit;2150 Cn4;Exelon Lb (it)-Prima Da (se);;;;10.402;1173;1.18.1;2-2(15)-D-0-4-1;;03.02.16-2-SP-2150-A-1.18.1-A. BOSCH M.;
Cuadras Cafe 1990;;;5;BONNIE SAS;;Jme. FLUXA;M. Andreu M;2150 Ec5;Idjet Mab (fr)-Torina Sas;;;;10.786;1197;1.19.7;1-0-1-R(15)-2-2;;03.02.16-1-SP-2650-A-1.19.7-Jme. FLUXA;
Cuadras Cafe 1990;;;6;AKANE SAS;D4;J. A. RIERA;M. Andreu M;2150 Ec6;In Love With You (fr)-Fatina Trio (it);;;;10.460;1170;1.17.0;7-D-D(15)-D-D-D;;27.01.16-7-SP-2650-A-1.20.9-J. A. RIERA;
Cuadra Pae Balears 2007;;;7;BALTASAR CG;DA;A. FRONTERA;A. Frontera;2150 Cc5;Never More (fr)-Berenice;;;;9.328;1177;1.17.7;5-6-D(15)-2-4-0;;03.02.16-5-SP-2650-A-1.20.6-J. RIERA S.;
Instalaciones Andres Vich;;;8;CLAUDY'S CROWN;;A. VALLS;And. Vich;2150 Ea4;Password (fr)-Lindys Spring (se);;;;9.374;1189;1.18.9;7-7-2-4(15)-6-1;;03.02.16-7-SP-2150-A-1.19.2-A. VALLS;
Binimelis Garcias Sl;;;9;BROK;;M. A. BINIMELIS;M. A. Binimelis;2150 Cc5;Lodbrok H.h. (se)-Artarita Plu;;;;9.582;1182;1.18.2;D-4(15)-3-0-4-0;;03.02.16-D-SP-2650-A-0-M. A. BINIMELIS;
Cuadra Son Cosmet;;;10;USAINBOLTPOWER;DP;J. BAUZA B.;D. Oliver;2150 Cn8;Duncan Power-Ley Suit;;;;10.978;1167;1.16.7;(15)-6-2-0-0-5-4;;31.12.15-6-SP-2650-A-1.19.7-D. OLIVER;
Francisca Llull Adrover;;;11;SPEZIA;;Mª. RIERA M. (AP);J. Adrover M.;2150 Ec10;Amadeus Om (it)-Divina Ley;;;;9.374;1176;1.19.3;2-3(15)-3-5-0-0;;24.01.16-2-MN-2050-A-1.18.7-Mª. RIERA M.;
Cuadra Ramat Jove S.l.;;;12;CARC DES LLORER;;G. ANDREU;F. Vidal B.;2150 Cc4;Jack The Ripper (fr)-Lass Adria (se);;;;9.254;1187;1.18.7;5-1-2(15)-1-6-2;;03.02.16-5-SP-2150-A-1.18.7-G. ANDREU;
Bernardo Jaume Cirer;;;13;BOS BONY;;J. RIERA S.;A. Frontera;2150 Cc5;Juliano Star (fr)-My Love;;;;9.578;1178;1.17.8;2-3-D(15)-1-3-0;;03.02.16-2-SP-2650-A-1.20.3-A. FRONTERA;
Quadra Dialegs;;;14;VICTORIA DE FONT;;Mª. F. SUREDA;Mª. F. Sureda;2150 Ec7;Glasny Goal-Pepite Mesloise (fr);;;;10.331;1183;1.18.3;(15)-7-7-0-0-7-2;;01.12.15-7-SP-2150-A-1.19.0-G. RIERA;
Hnas. Roig B.;;;15;VITESSE ROAD;;G. ROIG A.;G. Roig A.;2150 Cc7;Brandy Dei Fiori (it)-Genova;;;;9.627;1181;1.18.1;(15)-R-0-0-6-0-0;;29.12.15-R-SP-2650-A-0-A. VALLS;
Cuadres Son Moixet;;;16;VURONOMETRO SUND;;L. SEGUI;S. Vilches M.;2150 Cc7;Uronometro (it)-Roxette Sund (se);;;;10.681;1168;1.17.8;D-4-3-2(15)-D-1;;31.01.16-D-MAO-2280-A-0-L. SEGUI;
3ª CARRERA;;;;Premi EIVISSA (PREMIUM);;;;;Ganador;;;;Quiniela;;;Trio;;A las 19:10;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA LILA - NUMERO BLANCO;;;Matrícula 35€;;;;Forfait % del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 3.000 / 5.999,99€;;;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA;
Monserrat Llull Lliteras;;;1;CENICIENTA BET;D4;J. M. JUAN;J. M. Juan;2650 En4;Okito (fr)-Laika Bet;;;;4.497;1183;1.21.9;1-2(15)-2-4-2-7;;19.01.16-1-SP-2650-A-1.21.9-G. FUSTER;
Cuadras Cafe 1990;;;2;CHARLOTTE SAS;;A. RIERA B.;A. Riera B.;2650 Ec4;Let's Go Along (fr)-Lady Charlotte;;;;4.516;1192;1.22.0;6-2-D(15)-4-D-7;;27.01.16-6-SP-2150-A-1.20.8-A. RIERA B.;
Cuadra Sa Marina Slu;;;3;CRIS EVER JS;;M. SERVERA D.;F. J. Sagrera R.;2650 Ec4;Amadeus Om (it)-Vignola Om(it);;;;3.418;1200;1.20.9;3(15)-4-0-0-4-2;;19.01.16-3-SP-2650-A-1.21.9-M. SERVERA D.;
Francisco Alles Canet;;;4;AVANTI CORNER;;S. SALORD;S. Salord;2650 Ca6;Henry Corner (de)-Endi W;;;;4.915;1168;1.19.5;D-7(15)-0-R-R-0;;27.01.16-D-SP-2650-A-0-S. SALORD;
Cuadra Biniparratx Gran;;;5;AMOUR DREAM;DP;B. C. PONS V.;J. A. Segui;2650 Cc6;Love You (fr)-Icona(se);;;;4.209;1180;1.21.1;5(15)-D-D-0-R-5;;27.01.16-5-SP-2650-A-1.21.7-B. C. PONS V.;
Cuadra Ladil;;;6;BRILLANT DE LADIL;;S. POCOVI;F. Bennasar;2650 Cc5;Alesi Om (it)-Hola De Sasu;;;;5.875;1178;1.20.2;(15)-2-1-0-D-2-D;;10.11.15-2-SP-2650-A-1.20.2-S. POCOVI;
Penya Una Cama Perhom;;;7;CABANETA;;J. VILLALONGA;J. Pascual A.;2650 Ec4;Rommel (de)-Bellissima M;;;;4.468;1199;1.20.5;3-D-R(15)-1-0-6;;27.01.16-3-SP-2150-A-1.20.7-G. ANDREU;
Cuadra C.p.;;;8;ARBOÇ;DP;J. CARRERAS P.;J. Carreras P.;2650 Cc6;Illumine (fr)-Sally Can Wait (se);;;;5.258;1176;1.19.9;3-2-1-0(15)-0-D;;31.01.16-3-MAO-2280-A-1.19.9-G. RIERA;
Jaime Taberner Carbonell;;;9;ANIMA TM;;G. FUSTER;Jme. Taberner C.;2650 Ec6;Suitable Rose (se)-Clas Blai;;;;5.334;1193;1.19.3;D-2(15)-2-3-2-6;;24.01.16-D-MN-2050-A-0-B. CALVO;
Cuadra Mogal Motor;;;10;BELA ZETA;DP;G. RIERA;Mª. F. Sureda;2650 Ec5;Never More (fr)-Gavina Z;;;;5.058;1187;1.19.5;D-0(15)-R-2-0-0;;24.01.16-D-MN-2050-A-0-G. RIERA;
Cuadra Kolev;;;11;CALITJA SR;;J. RIERA S.;A. Frontera;2650 Ec4;Suitable Rose (se)-Malu Cs;;;;3.756;1181;1.21.8;D-D-3(15)-D-3-4;;27.01.16-D-SP-2150-A-0-J. RIERA S.;
Cuadra Caixeta;;;12;BROT DE LLUNA;;J. A. RIERA;A. Riera B.;2650 Ec5;Idjet Mab (fr)-Janis Joplin;;;;5.514;1189;1.20.4;0-5-4(15)-4-0-1;;19.01.16-0-SP-2650-A-0-Mª. RIERA M.;
Cuadra Ses Comes;;;13;CARLOTA DE KOR;;A. FRONTERA;A. Frontera;2650 Ec4;Musigny Degato (se)-Auba Des Etangs;;;;3.890;1191;1.21.3;D-5-6-D(15)-D-0;;27.01.16-D-SP-2150-A-0-A. FRONTERA;
Penya Es Trapassers;;;14;BLACKFLY HF;;B. LLOBET R.;B. Llobet R.;2650 Cc5;Alesi Om (it)-Super Bowls (gb);;;;4.965;1190;1.20.4;D-7(15)-D-6-4-D;;27.01.16-D-SP-2150-A-0-B. LLOBET R.;
4ª CARRERA;;;;Premi NEVADA (PREMIUM);;;;;Ganador;;;;Quiniela;;;Trio;;A las 19:40;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA ROSA - NUMERO NEGRO;;;Matrícula 35€;;;;Forfait % del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 11.000 / 14.999,99€;;;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA;
Cuadra Xisco Morey;;;1;SAN PELLEGRINO MIXO;;P. SEBASTIA E.;J. C. Minuesa;2150 Cc10;San Pellegrino (us)-Reggae Dance (se;;;;11.035;1169;1.16.9;6-D-0(15)-5-0-0;;27.01.16-6-SP-2650-A-1.20.8-P. SEBASTIA E.;
Peña Bonanza;;;2;UNDERGROUND SAS;D4;G. ANDREU;Ant. Riera M.;2150 Cc8;S J's Photo (us)-Lindoya (it);;;;14.138;1165;1.16.7;0(15)-4-0-D-5-0;;13.01.16-0-SP-2150-A-0-J. RIERA S.;
Cuadra Veloz;;;3;VIA CONTRARI;;M. RIERA B.;M. Riera B.;2150 Ec7;Gros Grain (fr)-Espira Des Bosc;;;;12.920;1172;1.17.2;0-3-3-0-0(15)-5;;03.02.16-0-SP-2650-A-0-M. RIERA B.;
Cuadra Caixeta;;;4;AVA GARDNER;;A. RIERA B.;A. Riera B.;2150 Ec6;Quatre Juillet (fr)-Evita Quickstep (no);;;;13.929;1177;1.17.7;4-0-D-7-0(15)-3;;03.02.16-4-SP-2650-A-1.19.6-A. RIERA B.;
Penya Silver Mixo;;;5;BENIGNO DURAN;D4;B. MASCARO;P. Puigserver;2150 Cc5;Musigny Degato (se)-Why Not Gin (se);;;;14.510;1173;1.18.3;3-0(15)-0-3-1-0;;27.01.16-3-SP-2150-A-1.18.9-B. MASCARO;
Antonio Sitges Bordoy;;;6;BONDAD MARE;;J. BAUZA B.;J. A. Hernandez N.;2150 Ec5;Gros Grain (fr)-Hara Villa Mare;;;;13.164;1181;1.18.1;1-2-1(15)-0-5-3;;27.01.16-1-SP-2150-A-1.18.7-J. BAUZA B.;
Hermanas Capella Garcia;s;;7;UN VERMELL CG;;A. FRONTERA;A. Frontera;2150 Cc8;Laramie (us)-Esines;;;;12.104;1165;1.16.5;5-0(15)-0-0-0-0;;27.01.16-5-SP-2650-A-1.20.4-A. FRONTERA;
Cuadra Ca'n Duran;;;8;BIMBOLLA DURAN;;O. PUIGSERVER;P. Puigserver;2150 Ec5;Ganymede (fr)-Spit To Heart (us);;;;11.722;1177;1.17.7;2-3(15)-2-0-0-0;;27.01.16-2-SP-2150-A-1.18.8-O. PUIGSERVER;
Cuadra Celio;;;9;UNALTRE SB;;F. BENNASAR;M. A. Mascaro R.;2150 Ec8;Brandy Dei Fiori (it)-Vasterbo Atanytim;;;;13.976;1163;1.16.3;2-6-0(15)-4-0-3;;27.01.16-2-SP-2650-A-1.20.3-F. BENNASAR;
Cuadras Morro;;;10;BERLIN DE FONT;;Jme. FLUXA;M. Andreu M;2150 Cc5;Quatre Juillet (fr)-Mel De Font Ia;;;;11.666;1167;1.16.7;(15)-D-4-4-0-0-3;;22.12.15-D-SP-2650-A-0-M. MESTRE;
5ª CARRERA;;;;Premi ORONDEL (PREMIUM);;;;;Ganador;;;;Quiniela;;;Trio;;A las 20:10;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA AMARILLA - NUMERO NEGRO;;;Matrícula 35€;;;;Forfait % del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 500 / 2.999,99€;;;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA;
Cuadra Rigo Ll;;;1;BENVENGUT SPA;;Jme. FLUXA;J. Rigo Ll.;2150 Cc5;Musigny Degato (se)-Estela Negra Gs;;;;2.952;1183;1.19.3;(15)-D-0-D-D-D-D;;15.12.15-D-SP-2150-A-0-Jme. FLUXA;
Cuadra C.o.;;;2;CRISTIANO MO;;M. RIERA B.;J. Capella;2150 Cn4;C Super Chancen (dk)-Naturens Unde;;;;1.416;1192;1.19.2;4-7(15)-6-D-0-0;;17.01.16-4-MN-2050-A-1.19.7-M. RIERA B.;
Cuadras Biniati;;;3;BADABLUE PV;;D. FERNANDEZ;Ant. Orfila Ll.;2150 Ec5;C Super Chancen (dk)-Hilia Du Morva;;;n;2.201;1205;1.20.5;1-0-4-1(15)-D-1;;31.01.16-1-MAO-2280-A-1.23.3-D. FERNANDEZ;
Cuadra Ramat Jove S.l.;;;4;AIRES P.J.;;J. A. RIERA;F. Vidal B.;2150 Cc6;Aires San Luis-Gunde Thoury;;;;1.270;1199;1.20.0;D-6(15)-D-D-0-D;;27.01.16-D-SP-2650-A-0-J. A. RIERA;
Antonio Gelabert Oliver;;;5;CARIÑO MIXO;;B. MASCARO;A. Gelabert O.;2150 Ec4;Ambassador Fortuna (us)-Orquidea D;;;e;2.882;1190;1.19.4;0-5(15)-4-0-7-0;;19.01.16-0-SP-2650-A-0-B. MASCARO;
Cuadra Twist;;;6;BRILLANT TWIST;;M. SERVERA D.;Ant. Servera D.;2150 Cc5;Musigny Degato (se)-Tina Twist;;;;1.826;1194;1.19.4;5(15)-3-5-D-6-D;;27.01.16-5-SP-2150-A-1.20.8-M. SERVERA D.;
Instalaciones Andres Vich;;;7;NICOLA CROWN;D4;A. VALLS;And. Vich;2150 Ec12;Tap Dance Kid (us)-Puk Kongstolpe (d;;;;1.214;1195;1.19.5;0(15)-D-0-D-D-D;;27.01.16-0-SP-2650-A-0-A. VALLS;
Cuadra Caixeta;;;8;AMARCORD;;A. RIERA B.;A. Riera B.;2150 Ec6;Password (fr)-Janis Joplin;;;;2.398;1184;1.19.2;0-0(13)-3-5-R-4;;24.01.16-0-MN-2050-A-0-M. FORNES C.;
Pedro Mir Gomila;;;9;BRISA DES COLL;;M. MIR;M. Mir;2150 Ec5;Sirgio (us)-Vauma De Maig;;;;1.475;1205;1.20.5;0-4(15)-0-6-0-7;;27.01.16-0-SP-2150-A-0-M. MIR;
Quadra Vich-gs;;;10;CIMAX;;B. TOUS;T. Garcias M.;2150 Cc4;Kimax Du Dane (fr)-Patty D'oudon (fr);;;;844;1210;1.21.0;D-D(15)-7-D-D-6;;03.02.16-D-SP-2150-A-0-B. TOUS;
Cuadras Ca'n Pelat;;;11;BARETA TM;;P. SEBASTIA E.;P. Sebastia E.;2150 Ec5;Magic D'arc-Lisa De Nelly;;;;1.062;1209;1.23.5;0-2(15)-2-5-1-3;;17.01.16-0-MN-2050-A-0-P. SEBASTIA E.;
Cuadra C'an Pou, S.l.;;;12;CATERINA;;U. WIELAND;G. Mascaro P.;2150 Ec4;Trebol-Molinera Bird;;;;1.606;1203;1.20.3;3(15)-0-2-0-0-0;;06.01.16-3-SP-2150-A-1.20.3-U. WIELAND;
Cuadra Son Blai;;;13;BEBE BLAI;;J. M. JUAN;Jme. Taberner C.;2150 Ec5;Kent Barbes (fr)-Lady Lane Hanover (;u;;;2.582;1200;1.20.0;4(15)-7-0-3-5-0;;19.01.16-4-SP-2650-A-1.22.0-J. BAUZA B.;
Cuadra Balear;;;14;BIJOU BRANCH;;S. CONTESTI;A. Puig R.;2150 Ec5;Dexter Tilly (se)-Meadowbranch Hann;;a;;1.880;1186;1.20.0;D(15)-0-R-6(14)-0-3;;19.01.16-D-SP-2650-A-0-J. C. ROTGER;
;;;;;;;;[image];DIRECCIÓN DE COMUNICACIÓN;;;;;;;;;;
;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;;;;;;
;;;;;;;;;www.loteriasyapuestas.es;;;;;;;;;;
