Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;[image];Column11;Column12;Column13;Column14;Column15;Column16;Column17
;;;;;;;;;Programa de Carreras - 17 de febrero de 2016;;;;;;;
;;;;;;;;;Hipódromo Son Pardo;;;;;;;
Cuadra H.m.;;4;;A QUEEN OF GLORY;;D. FERNANDEZ;;R. Orfila C.;2650 En6;Amadeus Om (it)-Queen Arbos (se);26.557;1149;1.17.5;6-5(15)-7-3-R-0;03.02.16-6-SP-2150-A-1.16.3-A. TUR;
Cuadra Ca'n Tanca;;5;;ATOMIC ATAC;;J. BAUZA B.;;A. Adrover M.;2650 Cc6;Captain Cook (us)-Miss Laramie Df;20.816;1155;1.17.8;6-0(15)-0-D-0-0;10.02.16-6-SP-2150-A-1.17.6-J. BAUZA B.;
Cuadra Cafeteria Ses Primetes;;6;;UN QUEPRIXET MAR;;J. RIERA S.;;Mª. F. Sureda;2650 Ec8;Laramie (us)-Tracey Boko (de);27.830;1162;1.18.2;0-D-1-D(15)-0-3;27.01.16-0-SP-2650-A-0-J. RIERA S.;
Quadres Valls Rullan, S.l.;;7;;VICTORIOS;DA;A. VALLS;;A. Valls;2650 Cc7;Love You (fr)-Elita Tos (se);26.458;1158;1.17.1;0-0-0-0(15)-1-6;10.02.16-0-SP-2650-A-0-A. VALLS;
Cuadras Biniancolla;;8;;TASMANIA WEST;;J. C. ROTGER;;J. Anglada;2650 Ec9;Enjoy Lavec (se)-Demilia West (se);20.664;1144;1.17.7;0-0-6(15)-3-3-6;10.02.16-0-SP-2150-A-0-J. C. ROTGER;
Cuadra J.a. Gomez;;9;;AIRE DE CLISSA;;J. GOMEZ F.;;A. Gomez F.;2650 Cc6;C Super Chancen (dk)-Filla De Clissa;19.923;1161;1.18.2;1-3-4(15)-0-2-3;31.01.16-1-MAO-2280-A-1.19.3-J. GOMEZ F.;
Penya Peace & Love;;10;;VALENT;;A. FRONTERA;;J. A. Blasco;2650 Cc7;Captain Cook (us)-Elisabet;21.761;1159;1.16.8;0(15)-D-5-D-Dm-0;10.02.16-0-SP-2150-A-0-J. VILLALONGA;
Peña Bonanza;;11;;VENENOS MAR;;G. ANDREU;;Ant. Riera M.;2650 Ca7;Ata Star L. (se)-Tracey Boko (de);29.553;1145;1.16.9;5-0(15)-0-7-2-1;03.02.16-5-SP-2150-A-1.16.2-G. ANDREU;
Cuadra Son Cosmet;;12;;VENENO;;D. OLIVER;;J. A. Garcia;2650 Cc7;Jarnac De Blary (fr)-Jaina De Font;21.752;1156;1.17.6;0-3-3(15)-2-1-1;10.02.16-0-SP-2150-A-0-J. A. GARCIA;
Cuadra City;;13;;VENT DA MAR;;J. VILLALONGA;;J. Pascual A.;2650 Cc7;Strauss Or (it)-Henara Negra Gs;25.364;1162;1.16.9;D-0-5(15)-5-1-0;17.01.16-D-MN-2050-A-0-J. VILLALONGA;
3ª CARRERA;;;;Premi ELIANA DES BOSC (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 19:10;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA LILA - NUMERO BLANCO;;;Matrícula 35€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 4.000 / 7.999,99€;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;;ENTRENADORDIST;SCE;ORIGEN;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Na Xenxa D'en Borras;;1;;CRISIS DES PRES;;J. CARRERAS P.;;J. Carreras P.;2150 Ec4;Up Front Larry (us)-Mes Sang De Pre;7.212;1181;1.18.1;2-0-2-4(15)-0-1;31.01.16-2-MAO-2280-A-1.19.5-J. CARRERAS P.;
Cuadra Es Pou De's Rafal;;2;;SOL POU RAFAL;;D. GINARD;;D. Ginard;2150 Ec10;Uronometro (it)-Varisol Lui;7.547;1157;1.17.8;0-0-0-D(15)-0-0;03.02.16-0-SP-2650-A-0-J. FLUXA;
Cuadra Son Baco;;3;;BAMBI;DP;D. OLIVER;;S. Rigo A.;2150 Ec5;Ganymede (fr)-Jaina De Font;6.770;1180;1.18.6;(15)-3-2-0-4-D-D;31.12.15-3-SP-2650-A-1.20.2-D. OLIVER;
Ecurie Es Canyaret S.l.;;4;;BUM JADA;;A. RIERA B.;;A. Riera B.;2150 Cc5;Kopaulo (fr)-Queila Jiel (fr);6.536;1193;1.19.6;0-0-1-2(15)-0-2;03.02.16-0-SP-2650-A-0-A. RIERA B.;
Quadra Si Ho Se;;5;;BO DES MOLI;;M. RUBIO;;J. J. Miquel;2150 Cc5;Idjet Mab (fr)-Gelossia Af;7.562;1185;1.18.5;D-4-1(15)-1-6-5;03.02.16-D-SP-2650-A-0-M. RUBIO;
Cuadra Ladil;;6;;CARBO DE LADIL;;F. BENNASAR;;F. Bennasar;2150 Cn4;Lets Go (de)-Avalon Flower (us);6.738;1194;1.19.4;D(15)-D-1-7-1-4;19.01.16-D-SP-2650-A-0-F. BENNASAR;
Juan Gual De Torrella Le-senne;;7;;OBELIX DE TORRELLA;;J. GUAL DE T.;;J. Gual De T.;2150 Ca11;Blason De Mai (fr)-Die Balearen;7.086;1174;1.18.0;(15)-D-0(14)-0-D-0-5;07.01.15-D-SP-2650-A-0-J. GUAL DE T.;
Jaume Martorell Torrens;;8;;CALGARY;;M. RIERA B.;;M. Riera B.;2150 Ec4;Lets Go (de)-Melodie Blai;6.728;1179;1.17.9;1-1(15)-4-3-1-1;27.01.16-1-SP-2150-A-1.20.5-M. RIERA B.;
Hermanos Andreu Mesquida;;9;;COCO JAMBO;;Jme. FLUXA;;M. Andreu M;2150 Cc4;Warren Boko (se)-Candans Star;6.455;1190;1.19.0;1-0(15)-7-0-6-6;13.01.16-1-SP-2650-A-1.20.9-J. A. RIERA;
Francisco Alles Canet;;10;;AVANTI CORNER;;S. SALORD;;S. Salord;2150 Ca6;Henry Corner (de)-Endi W;7.265;1168;1.18.1;1-D-7(15)-0-R-R;10.02.16-1-SP-2650-A-1.19.8-S. SALORD;
Margarita Riera Fullana;;11;;BRANGELINA D'ESCAFI;D4;B. LLOBET R.;;B. Llobet R.;2150 Ec5;Yankee Slide (us)-Cuna D'escafi;7.842;1181;1.18.1;0-5(15)-7-0-D-6;19.01.16-0-SP-2650-A-0-B. LLOBET R.;
Cuadra C.p.;;12;;ARBOÇ;DP;C. RIERA M. (AP);;J. Carreras P.;2150 Cc6;Illumine (fr)-Sally Can Wait (se);5.358;1176;1.19.2;7-3-2-1-0(15)-0;10.02.16-7-SP-2650-A-1.20.9-J. CARRERAS P.;
Cuadra Un Sentiment G.p.;;13;;CRISTIAN DE FONT;;A. GOMEZ F.;(AP);J. Morro;2150 Ca4;Quatre Juillet (fr)-Pleasant Woman (se);5.844;1184;1.18.4;1-2(15)-0-2-2-4;24.01.16-1-MAO-1650-A-1.19.0-A. GOMEZ F.;
Juan Manuel Cuadros Perez;;14;;BRAD PITT SB;D4;A. FRONTERA;;A. Frontera;2150 Cc5;Never More (fr)-Amazzonia Ambrosio (de);6.897;1177;1.17.7;7-1-2-1(15)-0-0;03.02.16-7-SP-2650-A-1.20.6-J. BAUZA B.;
Cuadra Caixeta;;15;;BROT DE LLUNA;;J. RIERA S.;;A. Riera B.;2150 Ec5;Idjet Mab (fr)-Janis Joplin;6.164;1189;1.18.9;3-0-5-4(15)-4-0;10.02.16-3-SP-2650-A-1.20.1-J. A. RIERA;
Cuadra C'an Pou, S.l.;;16;;ALBOR NEULA;;A. POU H.;;G. Mascaro P.;2150 Cc6;Emil Somolli (se)-Constansa Neula;5.688;1184;1.18.7;D-0(15)-6-D-0-0;24.01.16-D-MN-2050-A-0-M. M. RIGO G.;
4ª CARRERA;;;;Premi VALENTINO (PREMIUM) (LOTOTURF);;;;;Ganador;;Quiniela;;;Trio;A las 19:40;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA ROSA - NUMERO NEGRO;;;Matrícula 35€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 8.000 / 12.999,99€;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;;ENTRENADORDIST;SCE;ORIGEN;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Catalina Mesquida Barrera;;1;;BAMBI GR;;B. PASTOR M.;;J. Pastor;2650 Cc5;Leo Josselyn (fr)-Bell-one (dk);8.202;1191;1.19.5;D-5-0(15)-5-D-D;27.01.16-D-SP-2150-A-0-J. PASTOR;
Cuadra Son Cosmet;;2;;USAINBOLTPOWER;;D. OLIVER;;D. Oliver;2650 Cn8;Duncan Power-Ley Suit;10.978;1167;1.19.2;0(15)-6-2-0-0-5;10.02.16-0-SP-2150-A-0-J. BAUZA B.;
Hermanos Andreu Mesquida;;3;;BANDIDO AM;DA;Jme. FLUXA;;M. Andreu M;2650 Cc5;Strauss Or (it)-Jungla Am;11.716;1177;1.19.5;2(15)-1-D-3-3-5;17.01.16-2-MN-2050-A-1.18.8-Ant. ANDREU M.;
Quadra Dialegs;;4;;VICTORIA DE FONT;;G. RIERA;;Mª. F. Sureda;2650 Ec7;Glasny Goal-Pepite Mesloise (fr);10.431;1183;1.19.8;7(15)-7-7-0-0-7;10.02.16-7-SP-2150-A-1.18.4-Mª. F. SUREDA;
Peña Bonanza;;5;;BISKIT SILVA;;G. ANDREU;;Ant. Riera M.;2650 Cc5;C Super Chancen (dk)-Zoot Run (se);12.460;1176;1.19.2;1-D-D(15)-D-0-1;03.02.16-1-SP-2650-A-1.19.4-J. A. RIERA;
Cuadra Can Escafi;;6;;BAMBINA D'ESCAFI;;F. VECINA;;F. Vecina;2650 Ec5;Brandy Dei Fiori (it)-Huella D'escafi;8.468;1185;1.20.5;3-5-0-7-5(15)-3;03.02.16-3-SP-2650-A-1.20.5-F. VECINA;
Cuadra C'an Maiol;;7;;CINDERELLA SAS;;A. VIDAL A.;;A. Vidal A.;2650 Ec4;Let's Go Along (fr)-Lina Axe (it);11.194;1183;1.19.4;3-D(15)-4-3-2-2;03.02.16-3-SP-2150-A-1.18.5-A. VIDAL A.;
Cuadra Veloz;;8;;VIA CONTRARI;;M. RIERA B.;;M. Riera B.;2650 Ec7;Gros Grain (fr)-Espira Des Bosc;12.920;1172;1.18.3;D-0-3-3-0-0;10.02.16-D-SP-2150-A-0-M. RIERA B.;
Hermanas Capella Garcias;;9;;UN VERMELL CG;;A. FRONTERA;;A. Frontera;2650 Cc8;Laramie (us)-Esines;12.754;1165;1.18.3;3-5-0(15)-0-0-0;10.02.16-3-SP-2150-A-1.18.3-A. FRONTERA;
Cuadra Ses Planes;;10;;TINA HARD;;D. FERNANDEZ;;A. Vich;2650 Ec9;Captain Cook (us)-Denia Hard;9.550;1171;1.18.6;D(15)-R-0-6-4-D;24.01.16-D-MN-2050-A-0-J. VIGNONI;
Cuadra Xisco Morey;;11;;SAN PELLEGRINO MIXO;;P. SEBASTIA E.;;J. C. Minuesa;2650 Cc10;San Pellegrino (us)-Reggae Dance (se);11.035;1169;1.18.5;0-6-D-0(15)-5-0;10.02.16-0-SP-2150-A-0-P. SEBASTIA E.;
Cuadra Yamo-llevant;;12;;CAP DE LLEVANT;DA;J. RIERA S.;;A. Frontera;2650 Cc4;From Above (se)-Sal De Llevant;11.002;1185;1.19.7;4-4(15)-D-4-2-5;03.02.16-4-SP-2150-A-1.18.6-J. RIERA S.;
5ª CARRERA;;;;Premi HORITA MORA (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 20:10;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA AMARILLA - NUMERO NEGRO;;;Matrícula 35€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 1.000 / 3.999,99€;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;;ENTRENADORDIST;SCE;ORIGEN;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Sa Marina Slu;;1;;CRIS EVER JS;;G. FUSTER;;F. J. Sagrera R.;2150 Ec4;Amadeus Om (it)-Vignola Om(it);3.418;1200;1.20.0;0-3(15)-4-0-0-4;10.02.16-0-SP-2650-A-0-M. SERVERA D.;
Instalaciones Andres Vich;;2;;NICOLA CROWN;D4;F. ANDREU;;And. Vich;2150 Ec12;Tap Dance Kid (us)-Puk Kongstolpe (dk);1.214;1195;1.19.5;0-0(15)-D-0-D-D;10.02.16-0-SP-2150-A-0-A. VALLS;
Cuadra C'an Pou, S.l.;;3;E1;CATERINA;;U. WIELAND;;G. Mascaro P.;2150 Ec4;Trebol-Molinera Bird;1.606;1203;1.20.3;D-3(15)-0-2-0-0;10.02.16-D-SP-2150-A-0-U. WIELAND;
Cuadra Kolev;;4;;CALITJA SR;DP;A. FRONTERA;;A. Frontera;2150 Ec4;Suitable Rose (se)-Malu Cs;3.756;1181;1.19.4;D-D-D-3(15)-D-3;10.02.16-D-SP-2650-A-0-J. RIERA S.;
Cuadra Caixeta;;5;;BOCI DE LLUNA;;A. RIERA B.;;A. Riera B.;2150 Cc5;Idjet Mab (fr)-Creta Judge;3.522;1191;1.19.1;6(15)-2-5-D-1-5;19.01.16-6-SP-2650-A-1.22.0-J. A. RIERA;
Cuadra Biniparratx Gran;;6;;COKTAIL DREAM;D4;B. C. PONS V.;;J. A. Segui;2150 Ea4;Love You (fr)-Reggae Dance (se);3.808;1190;1.19.0;D-D-0(15)-0-0-0;03.02.16-D-SP-2150-A-0-B. C. PONS V.;
Antonio Gelabert Oliver;;7;;CARIÑO MIXO;;B. MASCARO;;A. Gelabert O.;2150 Ec4;Ambassador Fortuna (us)-Orquidea De Flo;3.232;1190;1.19.4;4-0-5(15)-4-0-7;10.02.16-4-SP-2150-A-1.20.8-B. MASCARO;
Pedro Mir Gomila;;8;;BRISA DES COLL;;M. MIR;;M. Mir;2150 Ec5;Sirgio (us)-Vauma De Maig;1.675;1205;1.20.5;5-0-4(15)-0-6-0;10.02.16-5-SP-2150-A-1.20.9-M. MIR;
Cuadras B.r.;;9;;BALEAR BEACH BR;;Jme. BASSA R.;;J. L. Mas G.;2150 Ea5;Forman Corner-Goya D'escafi;2.172;1192;1.23.3;D-6(15)-D-3-3-5;24.01.16-D-MN-2050-A-0-Jme. BASSA R.;
Cuadra Balear;;10;;BIJOU BRANCH;;S. CONTESTI;;A. Puig R.;2150 Ec5;Dexter Tilly (se)-Meadowbranch Hanna (us);1.980;1186;1.20.0;7-D(15)-0-R-6(14)-0;10.02.16-7-SP-2150-A-1.22.1-S. CONTESTI;
Cuadras Ca'n Pelat;;11;;BARETA TM;;P. SEBASTIA E.;;P. Sebastia E.;2150 Ec5;Magic D'arc-Lisa De Nelly;1.062;1209;1.23.5;0-0-2(15)-2-5-1;10.02.16-0-SP-2150-A-0-P. SEBASTIA E.;
Cuadra C.p.;;12;;CUBIC GO;;C. RIERA M. (AP);;J. Carreras P.;2150 Cc4;Lets Go (de)-Laguna Blai;3.254;1191;1.19.1;4-7-1(15)-1-1-1;31.01.16-4-MAO-2280-A-1.21.4-J. CARRERAS P.;
Cuadra Twist;;13;;BRILLANT TWIST;;M. SERVERA D.;;Ant. Servera D.;2150 Cc5;Musigny Degato (se)-Tina Twist;3.026;1194;1.19.4;2-5(15)-3-5-D-6;10.02.16-2-SP-2150-A-1.20.4-M. SERVERA D.;
Cuadras Biniati;;14;;BADABLUE PV;;D. FERNANDEZ;;Ant. Orfila Ll.;2150 Ec5;C Super Chancen (dk)-Hilia Du Morvan;2.201;1205;1.20.5;0-1-0-4-1(15)-D;10.02.16-0-SP-2150-A-0-D. FERNANDEZ;
Cuadra C.o.;;15;;CRISTIANO MO;;M. RIERA B.;;J. Capella;2150 Cn4;C Super Chancen (dk)-Naturens Under (se);2.066;1192;1.19.2;3-4-7(15)-6-D-0;10.02.16-3-SP-2150-A-1.20.8-M. RIERA B.;
Cuadra C'an Pou, S.l.;;16;E1;AMANDA BIRD;;J. VICH;;G. Mascaro P.;2150 Ec6;Emil Somolli (se)-Daixa Bird;3.455;1189;1.18.9;D-D-0(15)-5-0-7;24.01.16-D-MN-2050-A-0-M. M. RIGO G.;
;;;;;;;;;[image];;DIRECCIÓN DE COMUNICACIÓN;;;;;
;;;;;;;;;;;Tel.: 91 596 27 74 - 25 23. prensa@selae.es;;;;;
;;;;;;;;;;;www.loteriasyapuestas.es;;;;;
